company_name,job_title,job_desc,salary
PERSONNEL LINK JOBHUB PTE LTD                    Posted On :12 Jul 2018,"Regional Sales Manager, Luxury Timepiece (Swiss Brand/Orchard/Up to $10,000)","Reporting to Regional Sales Director Retailers Management by conducting frequent visits in assigned countries in South East Asia Provide Brand and Product Information, Pricing issues and discount control monitoring Handle stock allocation to retailers together with General Manager / Regional Sales Director Assist in mid-month and monthly reports; yearly POS evaluation report Sales Analysis and compilation of retailersâ inventory reports Trade marketing and visual merchandising Assist in events and exhibitions locally and regionally Market intelligence on competition brands such as instore, visibility activities, incentive scheme, joint promotions, etc. Requirements Degree or relevant qualifications in Business or Marketing. At least 5 years of proven experience in sales management of a well-known brand in the luxury fashion/timepieces/jewelry/art industry, with direct experience in retail distribution, and brand management Strong understanding of the local and regional partners / network Able to manage and motivate the staff and retailers in the Southeast operations while remaining hands-on Exhibits high energy and can-do attitude Monthly Salary ($8000 - $10000) + AWS + Attractive Variable Bonus and benefits A career with well-established company carrying a highly reputable leading brand. Excellent long-term prospects for the candidate capable of meeting the challenges of the role. We invite interested candidates to send in your updated resume (in MS Word Format), theresa@personnellink.com.sg cc Career@personnellink.com.sg stating your reason(s) for leaving each employment and your current/expected salary package. Please indicate the position you are applying in your email subject.  We regret to inform that only shortlisted candidates will be notified.  ",8000
Singapore Management University (SMU)                    Posted On :20 Jul 2018,"Research Scientist (1-year contract), Fujitsu-SMU Urban Computing & Engineering","JOB DESCRIPTION  The Living Analytics Research Centre (LARC) is a joint research initiative betweenSingapore Management University (SMU)andCarnegie Mellon University (CMU)that focuses on behavioural and social network analytics in the fields ofUrban and Community Liveability,Personalised Urban Mobility,Jobs and Skills Intelligence, as well asSmart Consumption and Healthy Lifestyle. In line with Singaporeâs Smart Nation goal, one of LARCâs objectives will be to harness technology to its fullest potential with the aim of improving the lives of Citizens and creating more opportunities. Candidates who join us can also expect to gain a deeper knowledge in the following areas:Big Data Analytics,Data Mining,Machine Learning,Deep Learningandother relevant disciplines. The Research Scientist will work with faculty researchers on one or more of the following research topics in the urban/social computing, smart cities and consumer business domains. Data and Text Mining Machine Learning Deep Learning Crowdsourcing Recommender Systems Social-Urban Sensing Big Data Infrastructure  The Research Scientist will also be responsible for one or more the following: Designing research methodologies Developing algorithms and models Conducting data science studies Designing and conducting experiments Designing and implementing applications, tools and systems Developing analytics capabilities in big data infrastructure  REQUIREMENTS  PhD in Computer Science and related disciplines Good knowledge in relevant research topics and related research skills Proficient in at least one or more of these programming languages: Java, Python, C#, C++ and C  ",Undisclosed
Singapore Management University (SMU)                    Posted On :20 Jul 2018,"Research Fellow (2-year contract), Living Analytics Research Centre","JOB DESCRIPTION  The Living Analytics Research Centre (LARC) is a research centre set up inSingapore Management University (SMU)andCarnegie Mellon University (CMU)as our strategic partner that focuses on analytics in the fields ofUrban and Community Liveability,Personalised Urban Mobility,Jobs and Skills Intelligence, as well asSmart Consumption and Healthy Lifestyle. Candidates who join us can also expect to gain a deeper knowledge in the following areas such asBig Data Analytics,Data Mining,Machine Learning,Deep Learning, Human Computer Interaction, Urban Computingandother relevant disciplines. The Research Scientist will work with faculty researchers on one or more of the following research topics in the urban/social computing, smart cities and consumer business domains. Data and Text Mining Deep Learning Recommender Systems Big Data Infrastructure Machine Learning Crowdsourcing Social-Urban Sensing  The candidate will also be responsible for one or more the following aspects: Design research methodologies Develop algorithms and models Conduct data science studies Design and conduct experiments Design and implement applications, tools and systems Develop analytics capabilities in big data infrastructure   REQUIREMENTS  PhD in Computer Science and related disciplines Good knowledge in relevant research topics and related research skills Proficient in at least one or more of these programming languages: Java, Python, C#, C++ and C Self-motivated and able to carry out tasks independently Excellent team player and possess strong inter-personal skills Analytical and meticulous with attention to details  ",Undisclosed
Singapore Management University (SMU)                    Posted On :20 Jul 2018,"Research Scientist (2-year contract), Living Analytics Research Centre","JOB DESCRIPTION  The Living Analytics Research Centre (LARC) is a research centre set up inSingapore Management University (SMU)andCarnegie Mellon University (CMU)as our strategic partner that focuses on analytics in the fields ofUrban and Community Liveability,Personalised Urban Mobility,Jobs and Skills Intelligence, as well asSmart Consumption and Healthy Lifestyle. Candidates who join us can also expect to gain a deeper knowledge in the following areas such asBig Data Analytics,Data Mining,Machine Learning,Deep Learning, Human Computer Interaction, Urban Computingandother relevant disciplines. The Research Scientist will work with faculty researchers on one or more of the following research topics in the urban/social computing, smart cities and consumer business domains. Data and Text Mining Deep Learning Recommender Systems Big Data Infrastructure Machine Learning Crowdsourcing Social-Urban Sensing  The candidate will also be responsible for one or more the following aspects: Design research methodologies Develop algorithms and models Conduct data science studies Design and conduct experiments Design and implement applications, tools and systems Develop analytics capabilities in big data infrastructure   REQUIREMENTS  PhD in Computer Science and related disciplines Good knowledge in relevant research topics and related research skills Proficient in at least one or more of these programming languages: Java, Python, C#, C++ and C Self-motivated and able to carry out tasks independently Excellent team player and possess strong inter-personal skills Analytical and meticulous with attention to details  ",Undisclosed
Vault Dragon                    Posted On :20 Jul 2018,Data Governance Business Analyst,"Candidate Profile As a Data Governance Business Analyst, you will be responsible to drive the development of the organisation governance framework. You will be working closely with the Sales, Operations and Tech teams to define business processes, business and functional requirements, data analysis and IT security requirements to support existing data solutions. Besides developing the governance framework, you are also expected to identify and obtain the relevant certification or standards that the organisation must pursue to stay competitive and compliant in our line of business. The ideal candidate should have at least 2 years of working experience in data quality or corporate governance.  Responsibilities Regularly review and enhance the data governance practices and regulatory standards to ensure compliance Responsible in driving the implementation of data environment, trend analysis and periodic data security assessment Strong understanding of databases and data structures Intermediate facilitation skills with the ability to drive issues to closure Self-motivated and able to handle tasks with minimal supervision or questions Understanding of privacy laws and regulations Possess good working knowledge in relational DB, BI tools (such as Power BI) and good SQL scripting knowledge Desired Skills and Experience Bachelorâs degree in information technology, business, or related field, or equivalent combination of education and experience required 2+ years data quality or similar level data analysis experience required  ",3000
Vault Dragon                    Posted On :20 Jul 2018,Data Engineer,"Responsibilities Design and develop highly scalable, end-to- end pipeline for processing and analysing large volumes of complex data Assist the Data Scientist in deploying Machine Learning models Ensure high data quality and integrity from data sources Manage data collection which includes overseeing the deployment of OCR technology in extracting data from unstructured data sources Ensure high standards of data governance Support the team with data or analytics request  Desired Skills and Experience Experience in building and deploying large scale data processing pipelines in a production environment BA/BS degree in Computer Science/Engineering, Statistics, Mathematics or related field Proficient in database and data warehousing Data-driven and possess passion to delve deep into data to solve problems  Technical Requirements Strong programming skills in Nodejs Solid understanding of NoSQL databases and other data manipulation tools Experience in working with database analysis engine such as IBM Watson and Apache Spark Candidates with prior experience in handling datasets within the medical / healthcare industry will be given preference  ",5000
Recruit Express Pte Ltd - HCLS,"Temp Office Admin / Data Entry Assistant x 2 (Monthly Salary, Urgent!) ","Job Description Provide customer service support like handling queries Collation and checking of grant applications, claims, statistics Data recording, scanning, filing and monitoring Contacting external parties/ applicants on grant application issues Assist in organizing training workshops Provide logistic support for events Provide support for user testing of system  Requirements:  Possess at least O/A Levels or Diploma in any field Able to commit for at least 3 months Able to commence work immediately or in short notice No experience needed, full training will be provided. Keen interest in the healthcare/ medical industry  Interested candidates please send a copy of your resume to temphc@recruitexpress.com.sg Email Subject: Admin Assistant - Vivian  Leon Leong De Cong R1551708 Recruit Express (Healthcare & Lifesciences Division) EA License: 99C4599 ",Undisclosed
The Supreme HR Advisory Pte Ltd,Software Engineer (System support/Project Management/PHP/Data collection),"â¢ Attractive salary packages â¢ Company Bonuses, Benefits & Privileges â¢ Career Progression Opportunities    Role: Provide technical analysis and post-implementation support to clients on technical issues and change requirements Assist Project Director in business analysis activities and project management for key customer accounts Develop system enhancements and rectify technical issues using C# and ASP.NET based on clientâs requirements Participate actively in system software audit activities, including drafting requirement specifications and business process flowcharts Work together with Lead Engineer to resolve complex technical issues Respond positively to change requirements and drive continual improvement of support practices Take ownership and drive effective closure to complex or escalated technical issues Ensure codes are in compliance to standards Generate ad-hoc reports from live system upon clientâs request Perform any other ad-hoc tasks assigned by superior  Requirement: Min Diploma in Information Technology or similar qualifications Familiar with development technologies (PHP, C# or ASP.NET) Familiar with database technologies (any one of SQL Server or MySql) Able to multi-task in a demanding, fast paced environment and work with minimal supervision to meet deadlines Able to work independently as well as in a team Pleasant personality, with excellent organizational, interpersonal and prioritizing skills Organized, self-motivated, enthusiastic and proven rapid learning capability  Please include the following in your Resume Document * (*.DOC/PDF - Files should not exceed 2MB) â¢ Name â¢ Contact No. â¢ Nationality/PR Status â¢ Location/Address â¢ Recent Photo â¢ Expected Salary ",2500
The Supreme HR Advisory Pte Ltd,"Facilities Engineer/Project Engineer[Data Centre, M&E; ]"," East Attractive Salary Career Progression Opportunities  Interested applicants can send your resume to supreme.terryyeo1@gmail.com and allow our Consultants to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.  *Requirements and Skills Minimum qualification Diploma or equivalent Min experience 2 years & above Tactful, analytical skills and responsible  *Job Description Daily health check non-critical/critical facilities & records Attendance/initial troubleshooting to fault/breakdown/complaint & records Attend user request for handyman works, eg. Cabinet door faulty, minor shifting etc and report to client CAS for follow up action Generating the 1st incident report & escalation Coordination/supervision of contractor's work (maintenance/rectification/fault) Maintaining records for utilities,chilled water & condenser water usage/monthly work carried out/monthly fault call-out /outstanding works Coordination/supervision of landlord on building related work (aircon,toilet, lighting,etc) Reporting of abnormality 7 days/24 hours standby for any M & E related emergency call out Monitoring of FMAS on Data Centre M & E facilities Scheduling of FCUs and AHUs for aircon extension request Obtain quotation for maintenance and improvement works from vendors/contractors Carry out duties in accordance with QEHS policy, procedures and work instructions Aware of the legal and other requirements and significant environment aspects/impacts (EAI) and occupational safety and health hazard/risks associated with their work activities Reg No R1871723 Ea No 14c7279 Job Type: Full-time Job Type: Full-time  ",1700
Singapore Management University (SMU)                    Posted On :20 Jul 2018,"Research Fellow (1-year contract), Living Analytics Research Centre","JOB DESCRIPTION  The Living Analytics Research Centre (LARC) is a joint research initiative betweenSingapore Management University (SMU)andCarnegie Mellon University (CMU)that focuses on behavioural and social network analytics in the fields ofUrban and Community Liveability,Personalised Urban Mobility,Jobs and Skills Intelligence, as well asSmart Consumption and Healthy Lifestyle. In line with Singaporeâs Smart Nation goal, one of LARCâs objectives will be to harness technology to its fullest potential with the aim of improving the lives of Citizens and creating more opportunities. Candidates who join us can also expect to gain a deeper knowledge in the following areas:Big Data Analytics,Data Mining,Machine Learning,Deep Learningandother relevant disciplines. The Research Fellow will work with faculty researchers on one or more of the following research topics in the urban/social computing, smart cities and consumer business domains. Data and Text Mining Machine Learning Deep Learning Crowdsourcing Recommender Systems Social-Urban Sensing Big Data Infrastructure  The Research Fellow will also be responsible for one or more the following: Designing research methodologies Developing algorithms and models Conducting data science studies Designing and conducting experiments Designing and implementing applications, tools and systems Developing analytics capabilities in big data infrastructure   REQUIREMENTS  PhD in Computer Science and related disciplines Good knowledge in relevant research topics and research skills Proficient in at least one or more of these programming languages: Java, Python, C#, C++ and C  ",Undisclosed
BGC GROUP PTE LTD,Data Entry Officer / Public Surveyor - JP,"BGC Group is hiring 50 full-time data entry officers cum surveyors who are keen to make a difference to the local community through data gathering. This will be an office based role and youâll be required to engage with Singaporean households over the line. Ideally, you would be able to commit to the job for 3 months to a year.  Your Role: Data Entry Officer / Public Surveyor Conduct simple surveys with local households over the phone (outbound calls based on given household list) - no cold calling Perform basic data entry such as keying in survey returns, amending data, etc  Requirements Only Singaporeans need apply No experience required as training is provided Has a friendly disposition and confident communication skills Comfortable with a 6 day work week and 2 shift timings, exceeding no more than 37 hours/week Others 2 Shifts: Monday - Friday + 1 weekend (full-day) Perks & Benefits Career continuity and support for all BGC signed candidates BGC REFERRAL BONUS: Don't forget to also refer your friends to us, and earn up to $310 in cash vouchers when they get hired too! Find out how here: bit.ly/ReferralProgramBGC 3 Ways To Apply 1. Click ""Apply Now"" (Recommended) 2. Email hiring@bgc-group.com your resume, with the subject (STJobs DE Surveyor)  For new full-time, temporary/ contract jobs, visit us at www.bgc-group.com! ",Undisclosed
BGC GROUP PTE LTD,Data Entry Officer / Public Surveyor - JP,"BGC Group is hiring 50 full-time data entry officers cum surveyors who are keen to make a difference to the local community through data gathering. This will be an office based role and youâll be required to engage with Singaporean households over the line. Ideally, you would be able to commit to the job for 3 months to a year.  Your Role: Data Entry Officer / Public Surveyor Conduct simple surveys with local households over the phone (outbound calls based on given household list) - no cold calling Perform basic data entry such as keying in survey returns, amending data, etc  Requirements Only Singaporeans need apply No experience required as training is provided Has a friendly disposition and confident communication skills Comfortable with a 6 day work week and 2 shift timings, exceeding no more than 37 hours/week Others 2 Shifts: Monday - Friday + 1 weekend (full-day) Perks & Benefits Career continuity and support for all BGC signed candidates BGC REFERRAL BONUS: Don't forget to also refer your friends to us, and earn up to $310 in cash vouchers when they get hired too! Find out how here: bit.ly/ReferralProgramBGC 2 Ways To Apply 1. Click ""Apply Now"" (Recommended) 2. Email hiring@bgc-group.com your resume, with the subject (STJobs DE Surveyor)  For new full-time, temporary/ contract jobs, visit us at www.bgc-group.com! ",Undisclosed
OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD                    Posted On :16 Jul 2018,IT Data Center + Incident management Site Support Engineer,"Optimum Solutions (199700895N) seek to hire IT Data Center and Incident Management Site Support Engineers. SGD$2.500 - $2,800 + 0.5mth completion bonus  Requirement: - Min 1 - 3 years experiences in IT technical site support - Experiences in incident management and batch monitoring - Must be open to 8 hours /12 hours rotational shift work (inclusiveof weekends and public holidays)  Technical Skills required: #technicalsupport #ITInfrastructure #Datacenter #Datacentre #incidentmanagement #batch monitoring  TO APPLY Kindly e-mail updated WORD document resume to Adeline Tan, Optimum Solutions ",2000
The Supreme HR Advisory Pte Ltd,Account Assistant [AP / AR / GL / SAP / Scalar / Data Entry / URGENT],"â¢ 5 Days Work â¢ Career Development Opportunities â¢ Attractive Salary Packages (Basic + Allowance + Bonus + AWS)  Interested applicants can send your resume to â nicolephang@thesupremehr.com and allow our Consultants to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.  Requirements: LCCI/Poly Diploma holder in Accounting or equivalent. 3 to 5 years of relevant experience. Experience in usingSAP / Scalar Good positive attitude, willing to work overtime whenever needed. Computer literate and well versed with MS Office Word and Excel. Minimum 3 year experience in using SAP (AP/AR and GL Module). Responsibilities: Manage Accounts Receivable and Trade Payable. Assist in month end closing and management report using Cognos. Prepare monthly inter-company Confirmation & Reconciliations. Review and monitor outstanding debt. Assist in preparation of audit schedules. Handle ad hoc finance and administrative duties. Please include the following in your Resume Document * (*.DOC/PDF - Files should not exceed 2MB) â¢ Name â¢ Contact No. â¢ Nationality/PR Status â¢ Location/Address â¢ Recent Photo â¢ Expected Salary ",2500
Recruit Express Pte Ltd - HCLS,"Temp Office Admin / Data Entry Assistant  (Islandwide, MNC) ","Job Description Provide customer service support like handling queries Collation and checking of grant applications, claims, statistics Data recording, scanning, filing and monitoring Contacting external parties/ applicants on grant application issues Assist in organizing training workshops Provide logistic support for events Provide support for user testing of system  Requirements:  Possess at least O/A Levels or Diploma in any field Able to commit for at least 3 months Able to commence work immediately or in short notice No experience needed, full training will be provided. Keen interest in the healthcare/ medical industry  Interested candidates please send a copy of your resume to temphc@recruitexpress.com.sg Email Subject: Admin Assistant - Vivian  Leon Leong De Cong R1551708 Recruit Express (Healthcare & Lifesciences Division) EA License: 99C4599 ",Undisclosed
Adroit HR Professional,(Japanese Speaking) Accounts Receivable / Collections Analyst / Accounts Executive / Credit Collection Specialist - IT MNC," A fortune 500 company, Leading IT & Software Development Company in the world with over 30 branches in Asia is now expanding and looking for dedicated individuals to join their prestigious company.    Accounts Receivable / Collections Analyst /Accounts Executive /CreditCollectionSpecialist  Japanese Speaking - To handleJapan Market and Counterparts    Job Overview & Description:  Work as Collection Analyst to obtain timely payment from international customers AR balances within prescribed payment terms to drive AR current matrices and to reduce AR delinquency.   Job Responsibilities:   Perform account receivables collections activities with customer, obtaining timely payments from customers within prescribed payment terms to maximize cash flow and minimize delinquency by calling on, emailing, faxing, or utilizing other communications to request payment and resolve disputed transactions with customers.   Perform detailed account reconciliation as needed to resolve and bring about closure on any and all disputed receivables, including demonstrating familiarity with all transactions/adjustments posted to customers account.   Prepare account adjustments as needed within financial deadlines.   Monitor all accounts for possible bad debt write off and communicate weekly status of account problems to subsidiary controllers, sales account managers, and regional controllers.   Research and resolve customer account problems promptly and perform detailed account reconciliation from customersâ perspective as needed.Negotiate payment on undisputed past due accounts.      Job Requirements:  A minimum of1 years of demonstrated work experience in related field Excellent command of both Japanese and English with Japanese business writing skill, this role requires extensive liaison with customers based in Japan. Highly organized and attention to detail combined with an ability to see the big picture. Self-driven, highly motivated and able to work independently Demonstrated ability in working effectively region-wide, cross-organizationally and cross-culturally Knowledge of MS Office; Word, Excel, PowerPoint    Should you be interested, kindly forward a detailed copy of your resume in MSWord to hr@adroithrpro.com.sgand cs@adroithrpro.com.sg  Please DO NOT use Quick Apply   Please include the following details in your resume: (1) Personal details such as full name as in NRIC, NRIC, nationality, contact address, numbers, email  (2) Reasons for leaving your current and previous employment(s) (3) Current / last drawn and expected salaries (4) Availability / Notice Period required (5) At least 2 names and contact numbers of relevant reference persons relating to your previous employment/s.  We thank you in advance for your application and will get in touch with you as soon as possible should you be short-listed. ",Undisclosed
BGC GROUP PTE LTD,Data Entry Officer / Public Surveyor - JP,"BGC Group is hiring 50 full-time data entry officers cum surveyors who are keen to make a difference to the local community through data gathering. This will be an office based role and youâll be required to engage with Singaporean households over the line. Ideally, you would be able to commit to the job for 3 months to a year.  Your Role: Data Entry Officer / Public Surveyor Conduct simple surveys with local households over the phone (outbound calls based on given household list) - no cold calling Perform basic data entry such as keying in survey returns, amending data, etc  Requirements Only Singaporeans need apply No experience required as training is provided Has a friendly disposition and confident communication skills Comfortable with a 6 day work week and 2 shift timings, exceeding no more than 37 hours/week Others 2 Shifts: Monday - Friday + 1 weekend (full-day) Perks & Benefits Career continuity and support for all BGC signed candidates BGC REFERRAL BONUS: Don't forget to also refer your friends to us, and earn up to $310 in cash vouchers when they get hired too! Find out how here: bit.ly/ReferralProgramBGC 2 Ways To Apply 1. Click ""Apply Now"" (Recommended) 2. Email hiring@bgc-group.com your resume, with the subject (STJobs DE Surveyor)  For new full-time, temporary/ contract jobs, visit us at www.bgc-group.com! ",Undisclosed
Singapore Health Services Pte Ltd (Singhealth)                    Posted On :18 Jul 2018,"Manager, Data Science"," You will be responsible for understanding emerging and evolving end user usage models and requirements in Big Data and Analytics. You will document the usage models, identify business, technical and user requirements, design solution architecture to meet those requirements and specify an implementation hardware and software solution stack. You will also document the solution architecture and solution requirements, while also defining end user proofs of concept to test the architecture, usage models and corresponding Intel technologies in test bed or real end user environments. Working with the end users and ecosystem partners, you will communicate project objectives at critical junctions to obtain buy-in from all stakeholders and deploy the solutions in early adopter production environments.  Requirements: Degree or Masterâs degree in Computer Science or related field At least 8 years of technical solutions experience, including 5 years of experience in Big Data/Analytics areas Prior knowledge of the healthcare landscape is preferred Strong analytical and problem-solving skills, and ability to work with incomplete or imperfect data In depth knowledge in the following area is required:  Expertise in Hadoop and other Industry Big Data Frameworks and industry vertical application for Big Data/Analytics   Firm understanding of major programming/scripting languages such as Java, Linux, PHP, Ruby, Phyton and/or R   Experience in working with ETL tools such as Informatica, Talend and/or Pentaho etc.   Good understanding of underlying infrastructure for Big Data Solutions (Clustered/Distributed Computing, Storage, Data Center Networking)    ",Undisclosed
