company,role,salary,JD
BonAppetour,Data Scientist Intern,"$400 - 1,000 ","Responsibilities:Here are a few of the responsibilities we expect you to bring on board:Passion for building useful tools and websites for our audience (because you ll build websites, tools, and new products with our design/dev team. Because we don t just write blog posts. We love side project marketing, more on it here http://goo.gl/4MiZI9)Know effective distribution tactics and the latest tools (because you ll take the content we create and do whatever it takes to find an audience for it)Understand influencers (and people with already built-in audience) can help grow our business a lot and develop strategies to attract their attentionBe data-driven and take it seriously when it comes to reporting and iterating on resultsStrong content writing and copywriting skills (because everything starts with writing. An email, a tweet, or copy on a landing page)Take charge of establishing and maintaining relationships with bloggers, editors, journalist, and reporters proactivelyResearch on market trends in the food, travel and sharing economy spaceRequirements:We expect you toable to commit for a minimum of 3 months on a full-time basis (ideally 6 months)be Fluent in EnglishIf interested, please send an email to with your resume, examples of your previous work (if any), and maybe an explanation of why you re motivated for this internship.This is a paid internship ($500) with a strong possibility to turn into a full-time role."
Spiking,Data Scientist Engineer,"$800 - 1,500 ","We are looking for a Data Scientist Engineer with an interest in machine learning, data engineering, and statistical mindset who enjoys solving stocks market problems. You will play a key role in building a next-generation big data analytics for retail investors around the world.ResponsibilitiesWork with various teams to plan, collect, clean and process data from multiple stock exchanges.Identify new data that could be useful in providing improved insights for stakeholders.Work with data engineering to build tools to allow stakeholder to query & visualize the data.Analyzes large data set, generates working hypothesis, and develops statistical models to derive actionable insights and recommendations.RequirementsStrong knowledge of data warehouse, infrastructures, and big data technologiesStrong knowledge of machine learning, data mining algorithms, and statisticsProficient in SQL, Python (or R)Experience in solving real data science problems (working experience, Kaggle, or similar competition experience is a plus)"
Cresco Data Pte Ltd,Data Scientist Internship,"$500 - 1,000 ","Role:We are looking for a Data Scientist Intern to help us analyse vast amounts of data and help us make smarter decisions to deliver better products.Duties that you may get involved in:Analyzing complex, incomplete, and large data from internal and external databasesProviding insights based on data including data visualization, interfence statistics, predictive modeling, machine learning, and presentationDeep understanding of modern machine learning techniques and their mathematical underpinning such as classification, recommendation system and natural language processingBuild an integrated custom dashboard marketing and automatic toolsSkills and Qualifications:Programming skills (Python, R, or scala preferred)Data analysis tools (excel, spreadsheet, supermetrics, etc.)Some experience in developing machine learning models at scale from inception to business impactHaving passion in databases, data analysis, statistics, modeling, and machine learning"
InfoTrie Financial Solutions Pte Ltd.,Quantitative Analyst / Data Scientist,"$800 - 3,000 ","Responsibilities:Analyze and draw insights from financial data, structured and unstructuredResearch and develop new data mining, text mining algorithms and modelsImprove existing algorithms and modelsWhere possible, write papers describing novel workRequirements:Basic knowledge of financeExperience with scripting languages: R, PythonRelational database and SQLLinux shell programming: pipes, redirection, process control, etc.Statistical and time series analysisMachine learning: regression (lasso, ridge, principal component, etc.), clustering, SVM, Neural Nets, etc.Regular expressions and text mining techniquesEffective communication skill and ability of independent study and researchDesirable skills:Java, Perl, ScalaHadoop, Spark, Storm, KafkaNoSQL databases: MongoDB, Time Series DB, RedisDistributed search engine: Solr, ElasticsearchMultiple languages (other than English) capability*A permanent job will be offered according to candidate's performance at the end of internship."
Kobe Global Technologies Pte Ltd,Data Scientist,"$400 - 8,000 ","fWe are looking for a talented, ambitious Data Scientist to develop GetKobe travel app with us.  The ideal candidate should be able to connect with millennials and have a strong business sense.Requirements for Data Science & AI work         Familiar with social media API   especially in facebook, instagam, snapchat         Being able to data mining and information retrieval through email, web crawl, social media         Ability to process sentiment, contextual analysis to do customer profiling         Familiar with  machine learning, name entity recognition, natural language processing         Having the ability to query databases and perform statistical analysis;         Being able to develop or program databases;         Being able to create examples, prototypes, demonstrations to help management better understand the work;         Having a good understanding of design and architecture principles         Being able to work in a fast-paced multidisciplinary environment as in a competitive landscape new data keeps flowing in rapidly and the world is constantly changing;Desired Skills and Experience         Solid experience in advanced email, social media API and data analytics         Strong interest in contributing to business improvement and growth         Expert in analyzing large, complex, multi-dimensional datasets with a variety of tools.         Accomplished in the use of statistical analysis environments such as R, MATLAB, SPSS or SAS.         Comfortable with relational databases as you are with Hadoop-based data mining frameworks.         Familiar with SQL, Python, Java and C/C++.         Experience working in an Agile/Scrum developm"
Aly Pte Ltd,Data Scientist and Engineer,"$800 - 1,200 ","We are looking for a data scientist and engineer with an interest in machine learning, data engineering, and statistical mindset who enjoys solving stocks market problems. You will play a key role in building a next-generation big data analytics for retail investors around the world.ResponsibilitiesWork with various teams to plan, collect, clean and process data from multiple stock exchanges.Identify new data that could be useful in providing improved insights for stakeholders.Work with data engineering to build tools to allow stakeholder to query & visualize the data.Analyzes large data set, generates working hypothesis, and develops statistical models to derive actionable insights and recommendations.RequirementsStrong knowledge of data warehouse, infrastructures, and big data technologiesStrong knowledge of machine learning, data mining algorithms, and statisticsProficient in SQL, Python (or R)Experience in solving real data science problems (working experience, Kaggle, or similar competition experience is a plus)"
Corporate360,Data Scientists,"$800 - 5,000 ","Bachelors or Masters degree in computer scienceMinimum 4yrs of BigData experienceBigData skills   Machine Learning, NLP, Predictive Analytics, Data MiningTechnical skills in ETL, BigData AnalyticsKnowledge in data analytics, mathematical & statistical data modellingExcellent English communication skillsEntrepreneurial spiritWilling to work in start-up environmentMasters Degree in Computer Science Preferred.Candidate who has Bachelors in Computer Science or Masters in Statistics or Masters in Mathematics with relevant working knowledge also encourage to apply."
Zalora,Asia Mobile Marketing Data Scientist Intern,$600 - 800 ,"THE ROLE
ZALORA is looking for a creative, analytical, and driven
individual to join our mobile marketing team as a Mobile Marketing DATA
SCIENTIST INTERN.  This position will be
responsible for developing creative and innovative solutions for driving user
acquisition of our ZALORA mobile titles, primarily focused on our ZALORA
app.  The role will report to the Senior
Mobile Account Manager.This role will boundaries of mCommerce across APAC, with a
proven ability to apply skills - technical, behavioural or economic -
practically in order to generate business value.If you are excited about fashion & ecommerce, want to be
in the driver s seat leading our user acquisition efforts and you re eager to
work for an innovative team within a thriving, growing company, we want to hear
from you!RESPONSIBILITIES
         
Create and support reporting models &
capabilities which help the company understand and manage its mobile app
marketing performance         
Translate business needs to technical
requirements, and work with development/BI teams to ensure correct
implementation to allow easy, precise analysis         
Provide reports and dashboards (incl. creating,
refining and automating reporting methods)         
Provide data analysis on mobile performance
(e.g. new customers, consumer patterns etc) producing insights to improve
performance         
Be the pro-active owner of the mobile datasetsREQUIREMENTS
         
SQL: The ability to write complex SQL queries to
analyse our databases, and preferably work effectively with both Hive and
relational databases          
Analytical coding: Using advanced Excel/VBA for
analytical purposes; knowledge of tools such as R, Python is a strong plus         
Communication: Designing good ways of
communicating, visualizing or reporting your results/analysis so that they are
clear and unambiguous; skills with standard reporting tools such as Big Query,
Data APIs/QlikView/Tableau is a strong plus         
Experience in  big data  systems such as Hadoop,
Hive is a strong plus         
Fluency in EnglishABOUT ZALORA
ZALORA is an ecommerce 
brand and Asia s No 1 fashion destination. We have offices across APAC,
including Singapore, Australia, Indonesia, Taiwan, Hong Kong, Philippines,
Thailand, Vietnam. ZALORA is funded by the Berlin based incubator, Rocket Internet
and is also part of the Global Fashion Group."
HRBoss Pte Ltd,Data Scientist Intern,"$800 - 1,000 ","ATA SCIENTIST INTERNWe are a strong cultured company with a real passion for what we do. We are a team with a great open, supportive culture that cares deeply about employees and the success of our product. We are looking for a Workforce Data Analyst Interns to help on analyzing HR KPIs and Metrics, to create HR Reports / Dashboards that are compelling, easy to use, and easy to understand. In addition, to create a Video story of the reports and dashboards, and to test the products and work with our cool development team.If you are interested in joining our growing environment, please apply!-------------------------------Role:Responsible for generating Reports and Dashboards.Responsibilities:To learn more about organization business problems and to design reports/dashboards based on certain KPI metrics To create visually appealing and easy to understand Dashboard design.To analyze and to create Data Sets that could be used for reports/dashboards.To learn about product features and be able to demonstrate the features to prospects.To perform user acceptance testing of the products.To support Sales and Marketing team in providing sales collateral that s aligned to the HR Data Analytics.To support Client Success team in doing the implementation of Data Analytics training.To enable the clients about the products by providing knowledge base contents as well as doing a direct training.Requirements:Undergraduates / Degree holders in IT-related studiesPossess strong honesty, integrity and confidentialityEmphasize on customer satisfactionDetail-orientedAbility to organize, multi-task and prioritize simultaneous assignments with minimal direct supervisionStrong organization and time management skillsPractical hands-on experience with Data Analytics, Reporting or Statistical SoftwareWho we're looking for:We hope to hear from the most talented professionals with the following characteristics:Cheerful disposition, dependable, meticulous, flexible on job scope, punctual in attendance & reporting;You will operate with the highest levels of integrity and as the face of HRBoss; you will be a passionate member of our dynamic team."
ShopBack,Data Scientist,"$800 - 1,200 ","Even as an intern, we don't just want to put you through monotonous 
admin work. We want the creative and insightful you that is able to 
thrive in our fun and vibrant start-up culture. We want to provide you 
with real skills and the valuable experience of working in the next wave
 of E-Commerce firms.As an Analytics intern, you role will include the following:Data pulling and compilationCreating algorithms for data analysisAnalyze trends and data to understand the works behind E-CommerceTurning analysis results into actionables for the teamWork with our core team in directing our business plansFinding new ways and initiatives in data analytics for our siteRequirementsIdeally,
 we want candidates who have experience in analytics and the different 
platforms used. But what we really ask for are people who are:Looking for a full-time conversion / able to commit for at least 6 monthsProficient in Advanced ExcelExperience in data analysis toolsPassionate, driven and motivatedPlease kindly include your portfolio of past projects / work in data analytics when sending in your resume.				"
ShopBack,Data Scientist,"$800 - 1,200 ","ata Scientist (6 Months / Fulltime)

Even as an intern, we don't just want to put you through monotonous admin work. We want the creative and insightful you that is able to thrive in our fun and vibrant start-up culture. We want to provide you with real skills and the valuable experience of working in the next wave of E-Commerce firms.As an Analytics intern, you role will include the following:Data pulling and compilationCreating algorithms for data analysisAnalyze trends and data to understand the works behind E-CommerceTurning analysis results into actionables for the teamWork with our core team in directing our business plansFinding new ways and initiatives in data analytics for our siteRequirementsIdeally, we want candidates who have experience in analytics and the different platforms used. But what we really ask for are people who are:Looking for a full-time conversion / able to commit for at least 6 monthsProficient in Advanced ExcelExperience in data analysis toolsPassionate, driven and motivatedPlease kindly include your portfolio of past projects / work in data analytics when sending in your resume."
ShopBack,Data Scientist,"$800 - 1,200 ","We are looking for Data Scientist interns who are analytical, insightful and possess good business acumen. As an intern, we do not want to just put you through monotonous admin work. Instead, you get a high degree of autonomy to take ownership of your work and responsibilities. We want you to indulge and thrive in our fun and vibrant start-up culture. We want to provide you with real skills and the valuable experience of working in the next wave of E-Commerce firms.As a Data Scientist intern, you role will include the following:Data pulling and compilationCreating algorithms for data analysisAnalyze trends and data to understand the works behind E-CommerceTurning analysis results into actionables for the teamWork with our core team in directing our business plansFinding new ways and initiatives in data analytics for our siteRequirementsIdeally, we want candidates who have experience in analytics and the different platforms used. But what we really ask for are people who are:Proficient in ExcelPassionateFast learnersDrivenMotivatedPlease note that this position is only open to students based and have legal rights to work in Singapore."
Enfactum Pte Ltd,Data Scientist Intern,"$1,000 - 1,500 ","The objectives of the assignment is to analyze all the printer , consumables, service and warranty sales data and build patterns of consumption and predictive purchase models for the end user.  We also have to develop a predictive curve for printer replacement purchases.Skill set is:1. Ability to look at data and develop trends and relationships. 2. Conversant with statistical models.3. Reasonable Excel competency."
Zalora,(Zsea) Mobile Marketing Data Scientist (Intern),$600 - 800 ,"THE ROLE 
We are looking for a talented
and creative Mobile Marketing Data
Scientist (Intern) interested in pushing the boundaries of mCommerce in
SEA, with a proven ability to apply skills - technical, behavioural or economic
- practically in order to generate business value. 
If you want to bring
the delights of mobile app shopping to over 500 million people across the 7 countries
that we have operations in and help us to further understand, model, predict
and acquire new customers, then this may be the right opportunity for you. You
will be part of a close-knit team of 4 looking to substantially grow mobile s
contribution to one of Asia s fastest growing e-commerce companies.
YOU WILL:
         
Create and support reporting
models & capabilities which help the company understand and manage its
mobile app marketing performance         
Translate business needs to
technical requirements, and work with development/BI teams to ensure correct
implementation to allow easy, precise analysis         
Provide team members with
the reports and dashboards (incl. creating, refining and automating reporting
methods)         
Provide data analysis on mobile
performance (e.g. new customers, consumer patterns etc) producing insights to
improve performance.         
Be the pro-active owner of
the mobile datasetsSKILLS TO CREATE THRILLS
         
SQL: The ability to write
complex SQL queries to analyse our databases, and preferably work effectively
with both Hive and relational databases          
Analytical coding: Using advanced
Excel/VBA for analytical purposes; knowledge of tools such as R, Python is a strong
plus         
Communication: Designing
good ways of communicating, visualizing or reporting your results/analysis so
that they are clear and unambiguous; skills with standard reporting tools such
as QlikView/Tableau is a strong plus         
Experience in  big data 
systems such as Hadoop, Hive is a strong plus         
Fluency in EnglishPERSONAL ATTRIBUTES
         
Smart   intellectual
dexterity         
Eager to learn         
High integrity         
Low ego         
Pragmatic problem-solver  
someone who looks for solutions rather than worrying about problems         
Strong drive and persistence         
Ability to thrive in an
entrepreneurial environment         
Team playerWhy ZALORA?          
The ability to make an
immediate impact we re a startup and your ideas and effort matter         
Significant global career
growth opportunities in a fast-growing business         
Rapidly gain working experience
in 7 APAC markets i.e. Hong Kong, Indonesia, Malaysia, Philippines, Singapore,
Thailand, and Vietnam         
Fun & casual working
atmosphere, close collaboration with management         
International mindset         
High degree of autonomyWHO SUCCEEDS AT
ZALORA?We are a young
company, with aspirations to build a lasting impact on our customers and the
region we operate in. We are fashion designers, computer scientists, and
warehousing wizards. Those of us with corporate past lives can t conceptualize
going back, and those of us who just graduated can t believe our luck.  
We value relevant
experience and deep functional expertise, but we are not bound by it we are not
afraid to make things up as we go and often have to. We reward results and
successful execution, and we measure everything to be sure we are on the right
path. We have the entrepreneurial zeal to push boundaries, and the corporate
grounding to understand a little bit of bureaucracy can provide a strong
foundation for the future.
If this sounds like
you, come join our team!"
Paktor Pte. Ltd.,Data Scientist/Analytics Associate,"$800 - 4,000 ","We are seeking a Data Scientist/Analytics Associate interested in working in the hot space of app data and analytics, focusing on behavior of Paktor users and drawing business insights from them. Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends, the ""magic"" behind dating, and provide understandings/estimates based on this data. Working closely with the product manager, the engineer team and our management team, you will be responsible for the creation and the evolution of the tools and methods critical to producing quality and useful insights.As our Data Scientist/Analytics Associate, you will:Lead the development and testing of hypotheses across all functional areas at PaktorPlay a key role as a member of the analytics teamResearch and apply multidisciplinary techniques, findings and approaches to Paktor problemsDesign, implement and analyze algorithms which substantially impact Paktor featuresParticipate in the development of prototypes and guide solutions into productionServe as a primary person to consult on complex data science issues, contributing key ideasWe are looking for:Masters/PhD in computer science, stats or related fieldObsession with data and system improvement, tempered with pragmatic ability to prioritizeProven research background, in academic or industrial work, with an emphasis on delivering practical research that has a critical impact on multiple projectsAwareness of business objectives and ability to apply this understanding to recommend and implement product development for difficult and complex technical issuesComfort working within a modern engineering environment (System architecture, Java, MySQL, multithreaded programming)Ability to script experimental solutions and use off-the-shelf statistical analysis toolsStrong results driven personality, with a high level of enthusiasm, energy and confidenceExcellent analytical, communication and organizational skillsAbility to demonstrate flexibility and integrity: be able and willing to work hands on or independentlyExperience at working at a growth-stage startup company (or be willing to try)Experience with large scale algorithm challenges in the consumer Internet spaceBonus points if you have:Worked on apps used by millions of peopleHave extensive experience in data analyticsWhat's in it for you:Competitive salary plus hefty equity compensationFree drinks, snacks and a lot moreA brilliant team (Ex-Amazon, Google, Oracle, IBM, McKinsey, Citi) working on an array of new mobile ventures that you have the opportunity to get your hands dirty withThe fast pace and agility of a prominent angel-backed startupAll the hardware/software/equipment you need, customized however you likeWant to join our team?Send us your resume and let us know why you're excited to work for Paktor! "
6Estates Pte Ltd,Data Crawling Engineer Intern,"$1,000 ","KEY RESPONSIBILITIESAssist Data Crawling Engineer to sift through applicable websiteAssist to organise unstructured data on website to structured dataREQUIREMENTSComputing background is a mustHave knowledge in HTML, CSS, JavascriptHave knowledge in basic Database ManagementTeam player and meticulous in detailsFluent in English and Manda"
The Scientist Pte Ltd,Marketing / Admin Assistant,"$800 - 1,500 ","General clerical duties Filing and sorting out documentsData entry, scanning of documentsAnswering of telephone callsAny other ad-hoc duties assigned by the su"
Wunderman,Data Analyst Intern,$800 ,"What you will be responsible for:  Supporting client s data requirements on all data-driven marketing activity  Preparing and processing data analytics for client s marketing campaign  Preparing weekly, monthly and quarterly reports to drive insights and optimizations  Conducting pre and post campaign evaluations, including cost evaluation, ROI, response rates, gap analysis and insights reporting  Assessing and reviewing database issues including quality and functionality, and propose solutions  Supporting Head of Analytics in client engagements  Taking on other data assignments as assigned by the Head of AnalyticsSkills and Experience we are looking for:   Degree/Diploma in Marketing, Mathematics, Economics, Computer Science or a similar qualification  Relevant data analytics experience, preferably gained in a digital or marketing environment  Strong knowledge of MS Word, Excel and PowerPoint  Good understanding of CRM, digital marketing and social media  Knowledge of analytical tools such as Google Analytics, Omniture, DoubleClick, SAS and SPSS  Strong analytical and statistical skills  High ability to read and interpret data into useful content  Self-starter with a can-do attitude and the hunger for learning  Good written and verbal communication skill"
6Estates Pte Ltd,Data Analyst Intern,"$900 - 1,000 ",KEY RESPONSIBILITIESAssist Data Scientists on algorithm optimizationsAssist to annotate and label large amount of dataAssist to turn Big Data into insightsREQUIREMENTSAll students are welcomed to apply.  Computing and/or Stats background is a strong plusInterested and knowledgeable in big data technology.Team player and meticulous in detailsFluent in English and MandarintailsFluent in English and Manda
KeyReply,Chatbot Development Data / Nlp Engineer,"$800 - 5,000 ","At KeyReply, we build tools that make governments and enterprises more efficient by leveraging AI techniques to understand queries and find related previously written answers. We are looking for NLP engineers and scientists to improve the NLU engine behind our products and services.As an NLP engineer you will be responsible for:Improving our current suggestions engine for previous answers. We are certain that we can achieve higher accuracy, better confidence and faster inference times.Exploring and experimenting with new deep learning models, with the goal of driving the accuracy of our product up for our users.Integrating and adapting new models into production systems.Adding modules to our text analysis pipelines to achieve extract new features and signals into the engine.A good candidate will have:PhD or MSc in Computer Science, Artificial Intelligence, Mathematics, Statistics or another highly quantitative field. Experience with Machine Learning and Natural Language Processing in academia or in the industry.Experience working with deep learning pipelines in production environment.Proficient in any of the following deep learning technologies or libraries: CNTK, NLTK, SpaCy, Gensim, Scikit-learn, Keras, Torch, TensorFlow (or similar).Previous work in one or more of the following fields: Natural Language Understanding, Information Retrieval, Knowledge Extraction, Question Answering, Machine Translation, Deep Learning.Working knowledge in one or more numerical computing scripting languages, such as R or Matlab, but preferably Python.Experience in Data Engineering, and the ability to design scalable Machine Learning systems capable of dealing with large amounts of data.Icing on the cake:We're a small team, so you get to define the perks  If you are self-driven and care about maintainability of code, automation, deployment processes, and want to write the highest quality code with utmost attention to scalability and performance, we want you!Why us:By joining us, you will be at the forefront of developing technology that will empower the next breed of enterprises, and working with these companies who care deeply about their customers. Your impact will not only be on streamlining and improving efficiency within these enterprises, but also on delivering the perfect interaction to their end user and driving customer satisfaction.We are genuine, down to earth, hard workers; we don't just care about how we can have fun together, we care about how we can help each other grow and become a best-in-class individual, as much as we care about being the best-in-the-world business.We look forward to talking to you, and are excited that you're interested to join us and change the future of work with automation and bots."
