,Job Title,Job Description,Salary,Company
88,"COBAM Data Analytics (Tableau, 6 months contract MBFC)","  Job Description We are looking for a candidate to join our GB and CB data analytics team. You will be required to deliver data and analytics landscape and expand our data driven decision making capability.  Key Roles &amp; Responsibilities  Support the rollout of Tableau and analytics capabilities across GB and CB client on boarding and client life cycle management space. Engage with business stakeholders cross countries and gather requirement and liaise with ETL team to get the required data preparation. Engage and execute the dashboards on Tableau or similar visualization tools. Explore statistical and automation tools like R, SAS, Python for predictive and prescriptive analytics Engage relevant technology teams to embed advanced statistical tools. Be an ambassador for usage of tools for data driven decision making. Prepare and/or contribute to regular updates for various committees and governance forums. Provide insights to senior management and the network based on MIS and analytics. Highlight any perceived risks and early alerts to the management based on data analytics.  Qualifications and Skills  Degree or Professional Qualification At least 4-6 years of experience in rolling out or being part of a data analytics implementation Knowledge of tableau and similar tools like micro strategy, qlikview etc Proficient in excel and sql Knowledge of either R, SAS or Python. Understanding of the ETL process is a must (End to end) Highly effective verbal and written English communication skills Good presentation, time management, negotiation and influencing skills Ability to influence without authority Strong analytical and problem solving skills Strong process mapping skills and process orientation Knowledge of process improvement methodologies Proven ability to manage and execute projects to a high degree of excellence within set timelines. Ability to think laterally and outside the box; able to conceptualize and articulate requirements Ability to collaborate effectively with a wide range of stakeholders    ",Competitive,Allegis  Global  Solutions
89,"Equities: Assistant Vice President / Vice President, Equities Data and Analytics Software Developer, Global Markets Technology","  Equities: Assistant Vice President / Vice President, Equities Data and Analytics Software Developer, Global Markets Technology    About Bank of America Merrill Lynch:   Our purpose as a firm is to make financial lives better, through the power of every connection. Across the world, we partner with leading corporate and institutional investors through our offices in more than 40 countries. In the U.S alone, we serve almost all Fortune 500 companies and approximately 59 million consumers and small-business customers. We provide a full suite of financial products and services, from banking and investments to asset and risk management. We cover a broad range of asset classes, making us a global leader in corporate and investment banking, sales and trading.   Connecting Asia Pacific to the World  Our Asia Pacific team is spread across 23 offices in 12 markets. We are focused on connecting Asia to the world and the world to Asia, using our global expertise to ensure success is shared between us, our clients and our communities. Our regional footprint covers 12 currencies, more than a dozen languages and five time zones, placing us firmly among the region' leading financial services companies.   Bank of America Merrill Lynch is committed to attracting, recruiting and retaining top diverse talent from across the globe. Our diversity and inclusion mission is to actively promote an inclusive work environment where all employees have the opportunity to achieve personal success and contribute to the growth of our business. Each of our global Employee Networks bring together employees, create dialogue and awareness in support of our Diversity and Inclusion mission.  Bank of America Merrill Lynch is an equal opportunities employer.   Position Description   Background: The Equities Trading Data and Analytics (DNA) team is part of the wider Equity Technology team and specifically aligned with the Electronic Trading Technology and High-touch &amp; Portfolio Trading Technology teams. The teams develop and maintain software for the Equities Trading business in the Global Markets and Investment Banking Group, providing innovative solutions which include client connectivity, low latency market access, smart order routing, algorithmic trading, workflow, internal crossing, analytics and reporting, all of which rely on highly available real-time and historical data. The tech teams work very closely with the Equities business, especially the quant teams working on algo development, the sales teams developing the product and coverage and onboarding teams managing the technical and reporting relationships with clients.   Equity trading, especially electronic trading, depends on high volume, high quality data. This includes inputs such as historical market data, real-time monitoring and analytics for consumption by trading systems, users and clients, and reporting at end of day or across large historical data ranges. Sophisticated quantitative analysis of trading performance drives improvement of the existing electronic trading platform and innovation in new product offerings.   The Equities Trading Data and Analytics (DNA) team develops and maintains high-throughput, high-availability systems for real-time capture, distribution and retention of vast amounts of market data and order and execution data, across the whole of BAML' Equities Trading business. The APAC team is based in Singapore and services clients in, primarily, HK and Japan, but also trading operations in India, Taiwan, Australia and Singapore, amongst others. The team ensures the smooth running of the plant and the availability and distribution of data, reports and analytics.   Each of the Equities tech teams are global teams with a strong presence in every region. We aim to maintain a global perspective while recognizing and responding to specific regional requirements that make each market unique.   Our Singapore Equities IT team is a diverse, dynamic and technically demanding team of around 50 people, including architects, developers and QA specialists. The team is responsible for the entire Equities Trading product set in Asia and enjoys a strong and close relationship with the Equity Trading management and business in Hong Kong. The team maintains a strong, collaborative developer culture with frequent technical and business knowledge-sharing events.    Project Background    The data platform providing these services is a complex mix of technologies, requiring sophisticated software development and design approaches. The technical landscape also includes a new generation of open source and proprietary technologies that allow greater developer productivity, higher performance and better returns on hardware costs. The DNA team is continually investing to strengthen and maintain the existing platform (KDB+/Q, Java) and is well advanced in a globally-led project to replace the data capture, distribution and warehousing with new generation data technologies (including Apache STORM, Kafka), configured to operate as a real-time event-processing pipeline. Success requires working with development, traders, quants, support and infrastructure teams to deliver a high quality, end to end solution. The team typically work across the whole set of systems, including the data warehouse, the tick data plant, analytics reporting and real-time alerting and the new real-time event processing platform. The team are responsible for the whole SDLC, including analysis with traders, sales and other IT teams, development and testing and integration into the trading stack. Second-level support is provided by the team who act as SMEs to the support teams. The team also act as data SMEs to trading, sales and quants performing complex analyses not otherwise available through the reporting suite.   Key Responsibilities   We require a very technical, full-stack, collaborative, hands-on developer who is aware of the project environment and can show initiative, deliver business value and think seriously about the design of the platform. The successful applicant will be enthusiastic about data as a subject and its applications and techniques.    Work within the global team, the local team and individually to develop and extend our systems for performance, coverage and new functionality.   Work with technology and business groups in the region and globally to deliver high quality products in a fast-paced environment.   Communicate and discuss with Business Owners on specifications, testing and sign-off.   Partner with support functions to provide support, advice and remediation of issues.   Contribute to the technical excellence of our platforms by performing code reviews, writing and performing tests and documentation as part of the SDLC process.   Work collaboratively with our business partners to generate and analyze large data sets and provide technical advice and expertise in the production or analysis of these data sets.     Key Requirements    Essential Skills:    Design skills and programming experience on high performance systems in either Java or KDB+/Q, with a full-stack mentality.   Strong analytical skills are required to provide solutions for complex business requirements.   Possess a mindset of constant innovation &amp; ownership of quality via automation &amp; tools.   A team mentality is essential. Must be able to work with and mentor junior members as well as take direction from seniors.   Good communication skills and the ability to coordinate different tasks and work with different stakeholder groups from business, through development to infrastructure and support.   Big data knowledge including real time stream processing, analytics and large data stores.   Experience working within a project team.   Finance knowledge, with equity front office desirable.    Nice-to-have:    Understanding of Agile methodology, test driven development &amp; continuous integration.   Java, KDB+/Q, SQL, real-time streaming and distributed programming.   GIT/SVN, Automated deployment, CI, automated testing, scripting, Linux admin.   Electronic trading or Equities business knowledge will be an advantage.    Posting Date: 06/07/2018  Location: 2 HARBOURFRONT PLACE #02-01 - MERRILL LYNCH HARBOURFRONT  - Singapore   Full / Part-time: Full time  Hours Per Week: 40     ",Competitive,Bank Of America / Merrill Lynch
91,"VP/AVP, Senior Business Intelligence Specialist, Data Management Office"," VP/AVP, Senior Business Intelligence Specialist, Data Management Office    The Big Data Analytics Group is a business function that leads the transformational build, use, and deployment of the banks next generation analytics capabilities and infrastructure. This exciting role will play a pivotal part as an Analytics Centre of Excellence that will take analytics to the next level through use of latest data and analytics technology currently being deployed. You will work either individually or in project teams to help the organization progress towards a self-service data discovery culture.   In this role you will be part of the Big Data Analytics Group, and will aim to deliver new insights and bring analytical practices to life through data visualisation, intuitive dashboards and data modelling to support the adoption of analytics into the decision making process across the entire organization.   This is a unique role where the right candidate will be able to make a significant and visible contribution within a short period of time.   Your responsibilities:     Manage, build and deliver analytical solutions including dashboards to help businesses leverage their internal data assets for strategic decision making. Hands-on development of data models and visualisations will be required.    Represent the Analytics Centre of Excellence to cross train team members, business users, and ensure business user adoption of analytics and supported tools.    Support business users and senior management through use of data analytics and also in deployment of data analytics capabilities.    Analyse data for portfolio managers to assist in the formulation of recommendations to deliver results against profitability and growth targets.    Provide consultative support to stakeholders and senior management in understanding data trends, patterns and insights on our customers and business operations.    Evaluate and improve existing analytics tools and platforms.    Support the Enterprise Data Architecture and Governance Program and Big Data Program to develop the Analytics Capabilities and drive the Change Management agenda for the group.    Drive innovation initiatives under the business leadership team' guidance and directives.   Job requirements:     Degree in computing or science discipline (e.g. Computer Science, Engineering, IT)    Min 6 years working experience in Analytics or Business Intelligence functions    Strong experience in Tableau, Power BI and/or Qlik    Knowledge of SQL, data warehousing, big data ecosystems and data modelling a strong plus    Experience with JavaScript, D3 or AngularJS is desirable    In depth knowledge of banking products and the overall industry    Good written and verbal communication skills and demonstrated success presenting in a clear and compelling manner to cross-functional stakeholders that persuades action    Have an understanding of project management and business processes to help drive organizational results    Ability to work and thrive in a dynamic, team-oriented environment  ",Competitive,United Overseas Bank
92,"GMOT: Assistant Vice President / Vice President, Reference Data Scala Developer, Global Markets Technology","  GMOT: Assistant Vice President / Vice President, Reference Data Scala Developer, Global Markets Technology   About Bank of America Merrill Lynch: Our purpose as a firm is to make financial lives better, through the power of every connection. Across the world, we partner with leading corporate and institutional investors through our offices in more than 40 countries. In the U.S alone, we serve almost all Fortune 500 companies and approximately 59 million consumers and small-business customers. We provide a full suite of financial products and services, from banking and investments to asset and risk management. We cover a broad range of asset classes, making us a global leader in corporate and investment banking, sales and trading.   Connecting Asia Pacific to the World Our Asia Pacific team is spread across 23 offices in 12 markets. We are focused on connecting Asia to the world and the world to Asia, using our global expertise to ensure success is shared between us, our clients and our communities. Our regional footprint covers 12 currencies, more than a dozen languages and five time zones, placing us firmly among the region' leading financial services companies.   Bank of America Merrill Lynch is committed to attracting, recruiting and retaining top diverse talent from across the globe. Our diversity and inclusion mission is to actively promote an inclusive work environment where all employees have the opportunity to achieve personal success and contribute to the growth of our business. Each of our global Employee Networks bring together employees, create dialogue and awareness in support of our Diversity and Inclusion mission.  Bank of America Merrill Lynch is an equal opportunities employer.   Position Description Background: Reference Data team provides solutions for client onboarding within Global Markets domain. We are looking for strong developers who would like to pursue a career in technical tracks within investment banking.   Key Responsibilities    80% of time would be concentrated in programming   Responsible for developing, enhancing, modifying and/or maintaining applications within Global Markets environment   Software developers design, code, test, debug and document programs as well as support activities for the corporate systems architecture   Working closely with business partners in defining requirements for system applications    Key Requirements    We are looking for very strong Java / Scala developers with extensive experience building middle-tier services, who are self-starters and eager learners   Do hands-on programming in any language such as Python, Java, Scala or JavaScript.   Good understanding of common algorithms and data structures   Strong problem-solving and analytics skills   Strong knowledge of software best practices (Object-Oriented design, patterns, algorithms, data structures)   Good understanding of SDLC and application of Agile Methodologies including but not limited to automated testing (such as Test-Driven Development), Code Review, Continuous Integration and Version Control Systems   Solid understanding of functional programming    Desirable Skills    Development experience using functional programming libraries such as Scalaz, Cats, Lodash/FP or Ramda.js is a big plus.   Knowledge of KYC and CDD systems is a plus   Experience with web technology frameworks like Angular or ReactJS   Good communication and presentation skills   Experience in Linux operating systems in server environments   Experience working with GIT or other version control systems    Posting Date: 06/07/2018  Location: 2 HARBOURFRONT PLACE #02-01 - MERRILL LYNCH HARBOURFRONT  - Singapore   Full / Part-time: Full time  Hours Per Week: 40     ",Competitive,Bank Of America / Merrill Lynch
93,Database Developer,"  My client is a top-tier quantitative hedge fund which is looking to hire a Database Developer to join their data services group in Singapore.  The role will join a team of Data Scientists, Developers and Analysts to ensure smooth implementation of their research infrastructure which plays a vital role in live trading across global markets for equities, futures, options and more. Responsibilities include managing the data technology infrastructure, monitoring SQL servers and coordinating infrastructure updates, as well as resesarching new technologies to improve data management and retrieval processes. Ideal candidates should have a Masters or PhD in computer science or related disciplines, 5 years experience in a technology role, strong skills in SQL, Python, C++, Linux, etc., and excellent problem-solving and communication skills. Experience in Lustre and kdb is a plus. This is a great opportunity to join a grow technical team in an established quant firm and develop your career.   ",Competitive,
101,Enterprise Products - Cross Asset Financial Engineer - Singapore,"  Derivatives professionals require accurate valuations to assess risk and move with confidence. We provide an integrated solution for every step of the derivatives workflow, across all asset classes. Our models are fed with high quality data giving you the context you need, so you can trade confidently and stay ahead of the markets.  What's the role? You will be joining a specialised area of Bloomberg that concentrates on offering premium structuring, valuation and risk services to our clients including cross-asset flexible, customisable tools and models that illustrate valuation transparency.  Your familiarity with bespoke derivatives term sheets, and the industry standard valuation models and ""street practices"" used for security valuation and portfolio risk analysis will allow you to successfully contribute to the team. Valuation will rely heavily on the appropriate choice and use of pricing models (combined with appropriate adjustments when necessary). Your ability to assess if the model results are reasonable is essential.  As a member of the team you will be have regular contact with clients so you will need to have strong communication skills. Additionally, you will be working with various people from external clients (traders, sales, buy side, institutional investors), and internal sales specialists, to developers and quants.  You'll need to have:   Master' degree in a technical area (such as Math, Physics or Engineering), quantitative finance field required. PhD a plus.   Recent experience at a Dealer (or at other top financial institutions) in financial engineering, structuring, and/or trading OTC Derivatives/Structured Notes   Cross asset derivatives and market risk experience   Strong understanding of derivatives models including market conventions, vanilla/exotic options, and market practices regarding bespoke exotic valuation and hedging   Excellent written and verbal communication skills   Ability to articulate clearly in group presentations and in interactions with clients, via phone or face-to-face   Ability to work in a fast-paced, complex and cross-asset environment   Ability to work with multiple groups across reporting lines We'd love to see:   Experience using Bloomberg, and other derivative pricing platforms   Familiarity with financial libraries (C, C++) and Python/ Javascript If this sounds like you: Apply if you think we're a good match. We'll get in touch with you to let you know the next steps but in the meantime feel free to browse this: http://www.bloomberg.com/professional  We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.   ",Competitive,Bloomberg
102,Head of APAC Infrastructure,"  Global Infrastructure Technology is responsible for running all aspects of Infrastructure for Schroders. We have representative support personnel in most global offices, but the bulk of architecture &amp; engineering happens in London, Luxembourg, Singapore &amp; New York. We are building one global team capable building a single global platform for Schroders to operate on. There are many Initiatives in the pipeline including new data centres, cloud technology, automation, new offices and new operating models.  Overview of role Our Global Infrastructure consists of Architecture, Service Management, User Services, Platforms &amp; Communications. We are going through a major transformation affecting every aspect of the service it delivers. As we globalise our technologies &amp; operating models, strong leadership is required to drive the vision and strategy. Based out from Singapore, you are a key member of the regional technology management team as well as a key member of global infrastructure management. Collaborating closely with your global counterparts, you will have an oversight of all infrastructures in the APAC region. You will drive changes, global standards and understand the various regulatory environments of each countries in the region. Maintaining a stable environment for the business to operate is vital deliverable for this role. You need to drive operational efficiencies and achieve the highest standards for production systems. We aim to create an amazing user experience, drive and adopt the latest user technologies whilst simultaneously making a strong support function which understands the needs of their customers. You will have regional infrastructure teams reporting into you hence strong leadership is key. . Key Responsibilities:  Work closely with the Global Head of Infrastructure Technology to develop technology roll outs across region and all aspects of strategy Work closely with Head of APAC Technology on achieving goals of the region Drive amazing service to our users and adopt innovative technologies &amp; methodologies Make sure all aspects of platforms are designed, engineered &amp; operated to support Schroders the business Work closely with the Security teams to ensure all designs &amp; deployments are secure and aligned to the global standards Understand &amp; collaborate on global strategies and drive regional execution Drive global technology standards, with multiple vendors across various use-cases Drive automation and build a team capable of developing orchestration layers &amp; self-provisioned services Utilise the regulations around use of public cloud technologies Support our big-data adoption and expand on the database &amp; computing platforms Manage the vendors and conduct regular service reviews Maintain high-levels of uptime across the entire estate Plan &amp; build the internal road-map delivering to the wider Infrastructure time table.  . To be successful in this role, you should possess the following requisites:  A confident communicator and enjoys making changes A sound understanding of the infrastructure delivery lifecycle and current trends Solid understanding of software provisioned infrastructure A keen interest in platform, Cloud &amp; Containerised computing technologies Understand what amazing customer service looks like and how to achieve A strong understanding of networking &amp; communication technologies Strong analytical, problem-solving and synthesizing skills Have worked in a financial services or technology industry Experienced in building financial models around infrastructure business cases Understand the importance of metrics &amp; statistics when measuring performance &amp; capacity Experienced in working as part of a large organization with globally distributed team Flexible, resilient team player with a positive attitude A good communicator, and able to bring teams on a journey of globalizing Enjoys leadership role,.providing clear direction and mentoring.junior staffs.  . Technical Skills  Strong knowledge of server platforms &amp; fully utilising capacity Strong knowledge of virtualization &amp; provisioning technologies Solid knowledge of storage types &amp; systems Understand latency and the effect on applications Understanding of databases, both tradition (SQL &amp; Oracle) and unstructured types (Hadoop) In-depth knowledge of the latest Microsoft server technologies  . .   ",Not Specified,Schroder Investment Management (Singapore) Ltd
105,Group Risk Management - Risk Portfolio Mgt (Credit RWA Solutions)," Group Risk Management - Risk Portfolio Mgt (Credit RWA Solutions)  Conduct quality assurance checks and reconciliation of Credit RWA and related numbers Prepare regular Basel 3 Credit RWA reports for regulatory compliance /reporting, Business Units and Senior Management. Analyse trends and perform portfolio analysis of various portfolios for management and regulators Participate in various Basel 3 Credit RWA initiatives including preparing user' requirements and user acceptance test plan, conduct user acceptance testing, communication to stakeholders etc Perform data quality checks through extraction and analysis of data from relevant systems Liaise with Business Units, IT and other relevant parties on Cr RWA matters and data quality     Qualifications   Good university degree  1 to 3 years working experience in the banking industry preferably in financial regulatory reporting or from a public accounting firm  Knowledge of Basel 3 Cr RWA regulations and banking products Proficient in Microsoft Office Applications (strong in Excel preferred) and SQL  Knowledge of Qlikview is an added advantage Understanding of system data concepts eg data model  Aptitude for numbers with an eye for details  Ability to work independently as well as in a team  Good communication and presentation skills   ",Competitive,OCBC Bank
106,Senior SAS Programmer,"  Senior SAS Programmer needed for a global financial services company based in Singapore. The candidate must have expert level SAS programming skills, strong Datawarehousing experience and the ability to communicate to senior stakeholders/executive leadership about financial dat model strategies.  The key responsibilities and skills needed are shown below: Key Responsibilites  To provide solutions to business stakeholders on financial crime challenges using analytical assessment tools. Build analytical programmes that will identify patterns using data mining Undertake predictive analytics on financial crime data Develop data foundations to allow for financial crime models to be built.   Key Skills   Bachelors degree in either statistics, accounting or mathematics needed  6 - 10 years experiece in SAS imperative  SQL experience advantageous  Datawarehousing, ETL knowledge is a must  Project management skills will be advantageous  The successful candidate will have excellent technical skills using SAS and have the ability to communicate with executive leadership in regards to progress on financial crime data models.  If you wish to have a confidential discussion on the role before submitting your CV, please reach out to Michael Hodson (R1325332) at mhodson@mcgregor-boyall.com with your contact details. We regret to inform only shortlisted candidates will be contacted.   McGregor Boyall Associates Pte Ltd is an equal opportunity employer and do not discriminate based on race, religion, gender, age, sexuality, gender identification, or physical ability.EA Licence No: 11S4330    ",SGD80000 - SGD160000 per annum,McGregor Boyall Associates Pte Ltd (Singapore)
107,"Assistant Vice President, Information Management - Customer Value Management","  Assistant Vice President, Information Management - Customer Value Management  Some careers have more impact than others.  If you're looking for a career where you can make a real impression, join HSBC and discover how valued you'll be.   Customer Value Management is vital in maintaining HSBC' position as a provider of world-class retail banking and wealth management solutions, directing business development with a focus on customers. The team works to ensure the most appropriate pricing, products and promotions are directed to the most relevant customers, concentrating on building value, treating customers fairly and creating a superb customer experience.   We are currently seeking a high caliber professional to join our team as Assistant Vice President, Information Management.   Principal responsibilities   Employ various programming languages or Business Intelligence tools of different utility to integrate and manipulate data from information systems such as data warehouses, datamarts, system master files and external data  Manage business requirements and make recommendations and facilitates consensus regarding the appropriate data sources, business rules, end deliverable content or format and delivery mechanism to meet their requirements  Support and maintain the data infrastructure with proper data quality controls to maintain the credibility of the data  Design, develop and deliver timely management information reports, business performance dashboards, business intelligence solutions and regulatory reporting to fulfill the business need under considerable deadline pressure  Implement customer acquisition, retention campaigns and event based targeting strategies and campaigns across all channels and track their success     Qualifications  Requirements   Bachelor degree in Business, Computer Science, Mathematics, Statistics or related field and relevant working experience on information management, campaign management and or data management in the banking industry  Knowledge on data modelling and data warehousing concept and experience in office automation and dashboard design  Independent and self-motivated individual who can deliver quality work under challenging timelines  Strong analytical, problem solving and interpersonal skills  Proficient in SQL and SAS programming  Experience in Teradata, Hadoop, Cognos, SAS Visual Analytics, Tableu, QlikSense, VBA would be an advantage     You'll achieve more when you join HSBC.   HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.    ",Competitive,HSBC
108,"VP/FVP, Strategic/Business Intelligence Analyst"," VP/FVP, Strategic/Business Intelligence Analyst   The Data Management Office (DMO)  is a business function that covers Enterprise Data Governance, Data Management, Big Data Analytics and Enterprise Data Strategy. Data Management Office ensures that UOB meets all data governance standards set by data regulators and optimize data management and usage to help UOB make smarter, faster and more accurate decisions and to improve operational efficiency.   The Big Data Analytics Group (BDAG) leads the transformational build, use, and deployment of the banks next generation analytics capabilities across the organization. This exciting role will play a pivotal part as an Analytics Centre of Excellence that will take analytics to the next level through use of latest data and analytics technology currently being deployed. You will work either individually or in project teams to help the organization progress towards a self-service data discovery culture.   This is a unique role where the right candidate will be able to make a significant and visible contribution within a short period of time.   Your responsibilities:  Provide consultative support to stakeholders and senior management through use of data, analytics and also in deployment of data analytics capabilities Manage and lead delivery of analytical solutions including analytical deep-dives and dashboards to help businesses leverage their internal data assets for strategic decision making Drive data analytics transformation in key business units in collaboration with IT partners Identify and assess business strategies and opportunities; develop appropriate analytical approaches Collaborate with business units and senior management to conduct needs assessment to support organization strategies, tactics, and learning solutions that support business unit objectives   Job requirements:  University Degree, preferably in analytical, mathematic, computer science discipline (e.g. Finance, Statistics, Commerce, Accounting, or a related discipline). 8-10 years working experience in Analytics or Business Intelligence or related consulting functions Knowledge of SQL, data warehousing, data mart, big data ecosystems and data modelling a strong plus Experience with business processes, data management, data flows, data relationships, data quality standards and processes, and proficiency with data analytics tools - i.e Tableau, Power BI, Qlik etc Experience working in Financial Services / Banking Consulting or related sectors a plus Experience in preparation of use cases, business requirements documents (BRD), system requirements specification (SRS) documents and other functional documents. Good written and verbal communication skills and demonstrated success presenting in a clear and compelling manner to cross-functional stakeholders that persuades action Significant experience in presenting at team meetings and in front of large groups Have an understanding of project management and business processes to help drive organizational results Ability to work independently and thrive in a dynamic, team-oriented environment   ",Competitive,United Overseas Bank
113,Core Strat Developer," Responsibilities Core Strats play a significant and important role in using state-of-the art technology to design and build strategic in-house capabilities supporting   Research (e.g. Backtest engine)   Production (which spans from data ingestion, management to signal generation and portfolio construction)   Execution (e.g rebalancing, order generation) and   Analytics (e.g. Portfolio Management &amp; Visualizations framework) Given the strategic and proprietary nature of the components built, Core Strats also maintain and ensure smooth operation of the components built. Core Strat Developer Singapore . Responsibilities  Core Strats play a significant and important role in using state-of-the art technology to design and build strategic in-house capabilities supporting   Research (e.g. Backtest engine)   Production (which spans from data ingestion, management to signal generation and portfolio construction)   Execution (e.g rebalancing, order generation) and   Analytics (e.g. Portfolio Management &amp; Visualizations framework) Given the strategic and proprietary nature of the components built, Core Strats also maintain and ensure smooth operation of the components built. . Requirements    Possesses Computer Science or Computer Engineering Background, with an understanding of statistics and Machine Learning   Proficiency in the following programming languages - R, Python, Java, SQL   Passionate in using technology and science to build the next-generation platforms Candidates with knowledge or experiences in the following areas will have an edge:   Prior experience in designing and engineering financial platforms   Knowledge in Financial investment instruments such as Fixed Income, Equities, FX and Commodities   Good understanding and practical experiences in distributed processing (e.g. Apache SPARK), grid or gpu computing   Experiences in building event driven systems   Elastic Search   NOSQL: Document databases (MongoDB), Graph Database (Neo4J) and columnar database (e.g HBASE)   Web UI development, React.js . To thrive in this role, candidates should have the following qualities:    Ability to work in a dynamic environment and to deliver results extremely quickly   Ability to solve problems and to articulate ideas well to stakeholders and management   An excellent team player with a collaborative mind set ",Competitive,Anson McCade
115,Senior Business Analyst,"  Leading the way in International Banking. We support the people and companies driving investment, trade and wealth creation across Asia, Africa and the Middle East. And our heritage and values are expressed in our brand promise - here for good. See our Brand and Values  As a Senior Business Analyst, this role required to lead and execute business analysis portfolio for Group COO Projects like Information &amp; Cyber security transformation in the bank. The successful candidate should perform business analysis using the right tools and techniques and support Program Manager and Data Architect on documentation, testing coordination, developer intermediation, etc. Candidate must have a good understanding of Data Management, Data Analytics and Data Visualisation technologies which service the domain in addition to operational processes.  Key Roles and Responsibilities:  * Undertake requirements solicitation from stakeholders/end users and turn into well-formed formal requirements into BRD. * Dig deeper to the problems rather than superficial requirement documentation - so as to identify the root cause of the problem statement, what and why something is required. * Perform AS-IS/TO-BE process mapping * Undertake data analysis as required in order to validate/challenge and refine requirements.  * Partner with the CDO, delivery teams to ensure solution definition meets requirements and is delivered with accuracy and quality.  * Enabling clear traceability of the requirements (starting with the BRD) and usage of process flow diagrams, as is and to be processes clearly documented - get it right the first time.  * Come up with clear Test scenarios / exit criteria and engage testing team well ahead to drive the quality of testing.  * Support the Group COO Data requirements to review and document the strategic data requirements , working closely with both internal and external stakeholders and collaboration partners to deliver the required deliverables. * You will need to develop a standard set of analytic tools to enable business to perform data analytics  * Be involved in the change management governance process to ensure that there is a smooth transition from Project to BAU * This role highly require candidate with strong data management , data analytics and data visualisation expertise.  Qualifications:  *Highly motivated individuals with a strong track record of achievement, leadership and high-performance drive, especially with similar previous roles in Banking. *A team player and enjoy interacting with people of all levels in a multicultural environment. *Able to creatively apply analytical solutions to business problems and can think out of the box in adapting to changes. *Ability to work under constant pressure to tight deadlines and deliver high quality output. Skills: * Documentation - BRD/FSD/Business Glossary/Data Model/Test Strategy/Project Plan etc.  * Report Types - Requirement Matrix/Gap Analysis/Problem Analysis/Business Case, etc.  * Process/Data Modelling - 'As Is'/'To Be'/ Visio/Enterprise Architect/Erwin, Etc.  * Project Management Methodologies - Waterfall SDLC , Agile , Scrum etc. * Strong data analysis skills using SQL , Microstrategy or Tableau. * Proven problem solving skills  * Proven Experience in Data Management and Data Quality Management techniques.  * Stakeholder Management / Analysis  * Presentation Skills - Data Story telling using visualisations is must  * Soft Skills - Communication/Negotiation/Relationship Building/Influencing    We are committed to building a culture that fosters a diverse and inclusive environment that' free from bias, where everyone can realise their full potential and make a positive contribution. This is just one of our values that is expressed in our brand promise - here for good. Apply Now...     ",Negotiable,Standard Chartered Bank Singapore
120,"VP/AVP, Business Intelligence, Group Finance"," VP/AVP, Business Intelligence, Group Finance Job description:   We are looking for a suitably-qualified candidate to join the Finance Information Management department under UOB Group Finance. You will be the Finance and Risk business analyst and solutions architect for business intelligence (BI) and process automation initiatives for productivity and quality improvement.   The role requires a strategic analysis of current operational processes and identification of Use Cases. You are expected to have good data modelling and application design skills, coupled with a strong sense of direction guided by industry best practices.   Your responsibilities include:   Supporting the identification and proposal of Use Cases on a cost-to-benefit analytical basis, with the ability to provide insightful critique Conduct operational research for proposed Use Cases, to serve as a cost-justification basis for management decisions Gathering, analyzing and synergistically integrating Use Case requirements to meet the bank' vision Leading design and development of optimized visualization solutions using BI tools including Qlik Sense and Microsoft Power BI, to meet the needs of end users for data analysis and decision-making Managing maintenance and enhancements of data models and visualization dashboards, to support evolving business needs, changes in data architectures and BI tool upgrades Continual exploration and proposal of new automation tools to facilitate work efficiency   Job requirements:   Good understanding of Banking products and Financial/Regulatory Reporting 5 years of experience in a bank or financial institution, preferably with exposure to regulatory reporting, financial reporting or financial accounting Experience in designing, developing and deploying Qlik Sense data models and dashboards, preferably for Finance or Risk implementations Strong understanding of relational databases, cubes and data modeling Possess a good understanding of Qlik application and data security architecture Possess strong analytical skills and problem solving skills Possess excellent oral, written and interpersonal communication skills Experience with coding in Python or R is a plus   Other requirements:   Exposure and participation in at least 1 major project is an advantage Team player, meticulous and able to work independently Results-driven with the ability to take initiative, handle multiple tasks and shift priorities to meet deadlines Possess a curious nature and strong ability in problem identification, variance analysis and issue resolution Combine an analytical and creative approach to problem-solving and have business strategy skills to build the solutions necessary to ask the right questions and find the right answers Be a clear, confident and persuasive communicator, with excellent presentation skills and with the ability to structure a coherent, logical argument and the confidence to defend assumptions, projections and recommendations Possess the aptitude and desire to assimilate and apply knowledge, as well as to inspire a learning culture amongst peers and subordinates   ",Competitive,United Overseas Bank
