,job_title,company,salary,job_description
62,Data Sciences & Analytics Engineer,SINGAPORE AIRLINES LIMITED,"$3,000to$6,000Monthly","Roles & ResponsibilitiesSIA has implemented the Enterprise Information Management (EIM) platform which is the single, integrated and comprehensive repository of enterprise data. Our Data Engineering Team is looking for Data Engineers to help us continue to build out our data infrastructure, making available to the business users the right data at their fingertips and supporting the business in big data analytics.   
    Responsibilities of the Data Engineer include:   
   Administration and monitoring of the EIM systems to ensure EIM operations run efficiently with the desired SLA and security compliance. Monitoring performance and advising any necessary infrastructure changes to the EIM landscape. Work with the infrastructure teams to implement such changes. Design and develop architecture for data services ecosystem spanning Relational, Columnar, NoSQL, In-Memory, Data Warehouses and BI & Big Data technologies. This include designing and implementing data pipelines & ETL processes. Design data models for mission critical and high volume data management, real-time and distributed data process aligning with the business requirements. Promote and develop data architecture best practices, guidelines, procedures and repeatable and scalable frameworks. Work with business units on their analytics initiatives, providing the data science expertise and resources besides being responsible for extracting the data from EIM as required for the project. Work with analytics vendors, providing the data sets as required and support the business users in assessments & validation of the analytics/statistical & machine learning models. Work with and help business units with tools like Tableau to visualize and create dashboards with the relevant data in EIM. Work closely with our application teams to operationalise & integrate analytics/machine learning models into our production systems.  Requirements BS in Computer Science or other related discipline is required. Advanced degree related to Analytics, Machine Learning & AI preferred. At least
1 years of relevant industry experience in following areas:   Knowledge and working experience with Machine Learning, AI, statistical techniques, and information retrieval as well as on data management systems, practices and standards. Knowledge and working experience with at least one visualization tools like Tableau, PowerBI, Qlik, or similar open source tools. Working experience in architecting highly performant databases using RedShift, PostgreSQL and Cassandra or NoSQL. Knowledge & working experience in Big Data technologies like In-Memory, New SQL, NoSQL, Hadoop Hive/Spark, etc Knowledge & experience in shell scripting, R, Python, Perl, Ruby, or any other scripting language. Should be proficient in at least shell scripting and R or Python. Experience with commercial ETL platforms with in-depth knowledge and understanding of ETL methodology & design supporting data transformations layer. Working experience with Ab Initio would be a bonus.   Strong knowledge and experience with Agile/Scrum methodology and iterative practices in a service delivery lifecycle is a PLUS. Working experience in an AWS or similar public cloud environment is another PLUS Excellent interpersonal & communication skills and proven ability as a problem-solver. Candidate to indicate in the application his/her strengths in data engineering and data science, and his/her preference. "
63,Data Engineer,GUMI ASIA PTE. LTD.,"$5,000to$7,000Monthly","Roles & Responsibilities Design, develop, implement, and evolve data pipelines powering core data sets and key business and performance metrics Identify, troubleshoot, and resolve any performance, system or data related issues, and work to ensure data consistency and integrity Work with Product and Marketing teams on data requirements.
 Work with various game teams on data set and data flow to ensure that data requirements are met. Ensure the quality, accuracy, and timeliness of analytical data  Requirements Min. 5 years working in a large analytical data ecosystem Strong technical understanding of data modelling, design, architecture principles, and techniques to take business requirements from concept to implementation Strong knowledge of relational databases and SQL. Knowledge of Python, PHP, Java, Linux architecture and scripting Extensive background extracting and transforming complex data sets. i.e. ETL
 Experience with database design and star schema data warehouse theory "
64,"Data Governance Senior Analyst, APAC Data Governance",ITCAN PTE. LIMITED,"$6,000to$12,000Monthly","Roles & ResponsibilitiesResponsibilities: 
  Supports data governance needs for Business Line MI programs in the region. Run data governance projects to set up data governance for our accounts and clients in the region:   Run workshops, define data strategy based on client/account priorities, Define with the business data classes and
 Critical data elements Proposes regional data governance standards and processes based on Client/Account needs. Set up Data governance framework including
 data stewardship program, data governance processes, RACI, business glossary, standards and playbooks for regional Clients and Account teams, in compliance to Global Data Governance guidelines Participate to the implementation of Data Quality programs for regional Clients/Accounts and Business Lines. (represent data Governance voice in the definition of DQ rules) Facilitate meetings with data consumers, data stewards, data producers and other stakeholders to ensure data governance rules and standards are applied to data related changes/ projects and mentor the business on DG. Identify areas of improvement in data practices and suggest appropriate solutions based on Data Governance principles.    RequirementsExperience  Must have 5+ years of experience in data domain such as Data Analysis, Data Governance, Data Management, Enterprise Information Management, Data Modeling, and Data Quality Management. Must have intermediate expertise in MS Excel, Visio, Word and PowerPoint. Must have foundational exposure to DataConcepts, i.e. Data Visualization, Data Analytics, Data Mining, Business Intelligence, etc. Bachelor's degree in Information Management, MIS, Library Science, or Computer Science; advanced degree preferred.   Experience in any standard ETL (Informatica, SSIS etc.), BI (Tableau, Cognos, Power BI etc.) and data management tools preferred. 3 + years related experience in commercial real estate management (preferred) or related industry. Candidates must have experience working in large global organizations with geographically dispersed teams and complex technical environments.  Skills: Data Governance & Management:  A practitioner of Data Governance and Management with real world experience of implementing at least two of the below concepts:   Critical Data Elements Business Glossary/Data Definition Reference Data Management Data Migration Master Data Management   Should have demonstrated success in implementation of Data Quality Management methodology. Should possess business acumen and have demonstrated success as a Business Analyst/Consultant in data domain. Experience in business consulting for large scale data projects preferred. Experience of successful application of Data Governance concepts in business scenarios preferred.  Project Management:  Should have demonstrated success in managing end to end project lifecycle. Should have demonstrated success in requirement gathering, stake holder management and project co-ordination in a heterogeneous (a mix of Business, Operations and IT) environment. Ability to work well under deadlines and multitask between competing priorities preferred.  Soft Skills:  Must be a self-starter and work with minimal or no supervision during analysis of complex business problems and deliver under strict deadlines. Must have excellent relationship management skills that include: excellent listening and consultative capability, ability to influence and negotiate with business and technology partners to drive change, ability to see the big picture and make key connections. Should have excellent presentation, oral and written communication skills. Must be able to communicate with a variety of stakeholders across all levels of the organization. Should have demonstrated to be successful in a team based collaborative environment. Excellent collaborative and leadership mindset preferred.  Technology: 
  Should have sound understanding on technological concepts (Data Architecture, Data Modeling and Data Integration) in data domain. Should be able to analyze and manipulate data stored in spreadsheets.  Ability to query and analyze data stored in RDBMS systems such as MS SQL server, Oracle etc."
65,"VP  /  AVP, Data Scientist, IBG Digital, Institutional Banking Group (180000ZI)",DBS BANK LTD.,"$6,500to$13,000Monthly","Roles & ResponsibilitiesJob Purpose
 The Data Scientist works within IBG Business Analytics to drive value for the business by leveraging machine learning. He will have opportunities to work on various projects that provide data-driven insights that enable enhanced capabilities in the areas of business growth, risk management, productivity etc. Responsibilities  Partner with business stakeholders to understand needs and identify opportunities to apply data science Frame this opportunity as a data science problem, formulating hypotheses and techniques for experimentation Work with data analysts and engineers for data exploration and preparation Conduct experiments, assess model performance, and present results to business stakeholders to obtain feedback Present key insights to management with actionable recommendations Facilitate deployment of finalised solution to production environment Monitor model performance over time and retrain model if necessary Work with other data scientists to drive projects and guide juniors as required Accountable for the delivery of data science projects that drive value for business  Requirements For PhD holders (in computer science, machine learning, statistics, decision science, mathematics or equivalent)  at least 3 years of industry experience developing data science solutions For non PhD holders  at least 6 years of data science industry experience Advanced degree holder in computer science, machine learning, statistics, decision science, mathematics or equivalentExcellent advanced analytics skills, with prior industry experience developing machine learning solutions for classification, prediction, forecasting and/or anomaly detection problems Highly proficient in data manipulation Highly proficient in R, Python, Spark Deep expertise in at least one of the following areas (or equivalent): deep learning, NLP, graph mining, anomaly detection, large-scale recommender engines, large-scale optimizations, large-scale multivariate time-series forecasting, causal and statistical reasoning Ability to present analysis in a manner accessible by non-practitioners Good verbal and written communication skills and the ability to interact professionally with business executives Has a can-do attitude "
66,Data Managament Analyst,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,"$3,000to$4,000Monthly","Roles & ResponsibilitiesResponsibilities:  Review and Approve or deny connections within a review tool based on client Policy. Review data provided by advertisers and validate it matches the corresponding internal CRM object (e.g. the contact for the advertisers company). Review subjective content (e.g. Ads run by the advertiser or the account billing address) and tag it to existing Client Relationship Management listings. Read, understand and make decisions based on policy documents Correspond with internal salespeople regarding any appeals filed. Review non-objectionable content, create tasks, follow-up on open tickets Provide feedback on trends identified in reviews. General data entry related tasks. Provide suggestions to improve the process and workflows Translate content in foreign language from local countries counterparts into English for the team  
 RequirementsRequired Experience  Familiar and uses social media accounts/products Excellent work pacing (time management) skills, able to work independently Attention to detail is essential to ensure the quality of work execution Able to work in multiple tools/web browser windows at one time Motivated, takes initiative, high energy Familiar with MS office (mainly excel) for updating progress Candidates should have good search and navigating skills Interpersonal Skills Self-starter, can easily adapt to change (new content, changing policies) Good problem solving Business language proficiency (written and oral) in Hindi/ Tamil/ Thai/ Vietnamese/ Bahasa Indonesia/ Bahasa Melayu/ Japanese/ Korean/ Mandarin to liaise with local countries' counterparts. Interested candidates must substantiate language proficiency with relevant certifications.  Must be keen to work in Social Media/Digital environment  We respect your privacy and all communication will be treated with confidentiality. 
If you wish to know more about this position or explore other roles, please prepare your updated profile and get in touch with our consultants at 6232 8811
(EA License:
02C3423) Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection, use and/or disclosure of personal data by Manpower for the purpose of carrying out its business, in compliance with the relevant provisions of the Personal Data Protection Act 2012."
67,Data Engineer,RAKUTEN ASIA PTE. LTD.,"$4,500to$8,000Monthly","Roles & Responsibilities Implement cutting-edge data infrastructure platform which is vendor unlocked and multi-tenant. Implement and manage robust ETL pipeline based on streaming. Implement easy-to-use generalized data accessing layer by leveraging the details of storage engine. Implement distributed machine learning pipeline by coordinating with data science team. Develop data driven culture for integrated partners. Propose new technologies, tools to improve whole process of data system integration.  RequirementsMust have  Bachelor degree or higher in Computer Science or related field. Experience in at least one language for web backend application & data processing, such as Java, Python, etc. Experience in NoSQL database, such as Redis, Solr, MongoDB, etc. Experience in Linux system operation, ability to manage system level task such as monitoring and troubleshooting your deployed applications. Good communication skills, ability to work in fast pace R&D. High motivation for learning, skill up, system ownership and contribution to the team.  Must have for Senior position  3+ years of experience in developing large scale data processing platform of various unstructured data. 3+ years of experience in using various big data frameworks and NoSQL databases, such as Hadoop, Kafka, Redis, Solr, etc. Practical knowledge of web system performance tuning including OS, middleware, I/O and application.  Good to have  Experience on cloud computing service, such as AWS. Experience in handling multilingual data. Knowledge in data science domains, such as NLP, Data Mining, and Deep Learning will help your collaboration with the data scientists. "
68,Mid Senior Data Scientist,AXA DIL@ASIA PTE. LTD.,"$6,000to$9,500Monthly","Roles & ResponsibilitiesThe AXA Group, a worldwide leader in Insurance and Asset Management, supports and advises its customers, individuals and businesses at every stage of their lives by meeting their needs for products and insurance, pension, savings and wealth transmission. Our expertise is expressed through a range of products and services tailored to each client in three major areas: property & casualty insurance, life & health insurance and asset management. Present in 59 countries, 161,000 AXA employees are committed along with 103 million customers. Created in January 2014, the Data Innovation Lab (DIL) acts for the Group as a business-focused center of expertise on data analytics to foster R&D for AXAs offers and services. The DIL supports AXA entities big data projects by acting as an accelerator to carry out pilots and drives the creation of technological platforms to ease the operational roll-out. We have gathered both the latest data science tools and a team of experts in innovation, data and data science. The DILs key mission is to help AXA entities become data - driven companies by contributing to build technological platforms, acting as a technological hub towards external to explore the technological opportunities for insurance business. A glimpse of your daily mission: Contribute to the data strategy of the company: Link business needs to analytical solutions Build and promote data strategic assets for the business: marketing, products, services and tools Maintain and evolve the part of the innovation process linked to the data science activity Put in place the metrics and the dashboards to provide visibility for data science activity Promote and evolves the innovation process within the Data Science community Business Modeling: Understanding operational needs by collaborating with specialized teams Formalize needs into mathematical models and problems Explore databases (including large databases, unstructured and open) to find relationships and insights Problem solving: By leveraging the formalization of appropriate problems, propose theoretical solutions based on available tools Choose relevant techniques and create data processing solutions for the addressed needs Present and promote the solutions to the relevant communities and committees Manage and transmit the knowledge through appropriate documentation and events (training courses, seminar, etc.) 
 RequirementsSuccessful qualifier of this mission: Professional and technical skills: Masters degree or equivalent dual diploma (or PhD) in finance, actuarial, mathematics, statistics, physics or similar; Deep understanding of machine learning concepts and algorithms; Ability to model the reality of business into equations, and to understand the implications and limitations of a model; Relevant work experience in data processing (data mining, social network analysis, text mining, etc.); Good programming skills (Python, R, Java, Scala, SQL, Hive, etc.); Good knowledge in machine learning tools and libraries (scikit-learn, R, MLlib, etc.), bigdata tools (Spark, Hive), databases (relational and NoSQL), data visualization, web scripting; Analytical skills and mindset to produce useful business insights from data; Proven experience in distributed architectures applied to big data; Professional experience in research (fundamental or applied) is a plus; Professional experience in Web marketing is a plus; English  fluent in speaking and writing is mandatory; Ability to work into multi-disciplinary team; Good communication skills necessary to contribute to complex projects involving many stakeholders; Autonomy, curiosity and innovation capability; Business oriented; Experience: 5 to 10 years of strong professional experience; Work experience in an international environment is a plus. Please send your updated resume to
hr@axa.com.sg As we are continuously looking for great talents like you, do share AXA career opportunities with other talents! Link for our website is
https://www.axa.com.sg/about-axa/careers To all recruitment agencies
AXA ONLY accept resumes from appointed agency under our Preferred Supplier List. Please do not forward resumes to our jobs alias, AXA employees, any AXA entities or company location. AXA is not responsible for any fees related to unsolicited resumes. 
"
69,Data Analyst,ST ENGINEERING AEROSPACE LTD.,Salary undisclosed,"Roles & Responsibilities Educate project team members on analytic techniques and evangelise the benefits of data science to internal and external stakeholders. Develop and execute analysis plans by translating business requirements into technical designs for data acquisition, analysis and modelling, dashboards and performance metrics etc. Capture and evaluate the improvements to productivity and profitability for data analytic initiatives. Assist with the development of the companys overarching data strategy and implementation plans  Requirements Bachelors or Masters in data/business analytics or other related quantitative fields. Proficiency with programming and statistical software such as R, SPSS, Matlab, Python, Excel etc. Experience with handling data from SQL type relational databases. Experience with developing reports and visualisations with Qlikview will be an advantage. Experience with handling data from Hadoop and NewSQL databases will be an advantage. Applicants with no prior experience are welcome to apply. "
70,Data Scientist Big Data Hadoop Hive Machine Learning Business Analytics,3TOP CONSULTING PTE. LTD.,"$4,000to$7,500Monthly","Roles & ResponsibilitiesBusiness Analytics team and collaborate with subject matter experts to develop analytic statistical models, machine learning methods and solutions 
 RESPONSIBILITIES:   Work with internal and external stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions by testing various statistical models.  Improve on effectiveness and accuracy of new data sources and data gathering techniques, or create new processes and tools to monitor and analyse model performance and data accuracy.  Explore third-party and open source solutions for fast execution and for specific use cases  Engage in fundamental research to develop novel solutions to solve diverse business problems Requirements Bachelors degree in Computer Science, Mathematics & Statistics, Economics, Analytics or Applied Mathematics  Minimum 2 years of experience in statistical modelling and analysis tools like R, STATA  At least 2 years of experience in programming languages like S-plus, SAS, Python  Handled one of these: Supervised and Unsupervised Learning, Classification Models, Cluster Analysis, Neural Networks, Non-parametric Methods, Multivariate Statistics, Reliability Models, Markov Models, Stochastic models, Bayesian Models  Knowledge of UNIX or Linux environments  Experience working with large data sets and tools like MapReduce, Hadoop, Hive  Proficient in data streaming technologies like Spark, Flink 
 Interested candidates please send in an updated Word CV with a recent photograph attached to kelvinleow@3topconsulting.com EA License: 10C3108 EA Registration No: R1106538"
71,Data Scientist,KELLY SERVICES (SINGAPORE) PTE. LTD.,"$4,000to$6,000Monthly","Roles & ResponsibilitiesThe Logistics Data Specialist/Master Data Analyst/Master Data Executive is responsible for executing all business intelligence and data related activities including setting up databases, obtaining and managing data, performing data analysis and validating data. He/She is also responsible for managing Electronic Data Interchange (EDI) data and knowledge management projects and performing system reviews to improve the system.  He/She is required to handle data and data analytics. He/She is also expected to coordinate closely with data owners to obtain data and work under time pressure. Requirements~ Adapt latest technology to support team operations improvement activities. ~ Analyse data and research outputs to offer explanations for data findings. ~ Analyse data sets to develop tools and solutions that identify logistics process improvement opportunities. ~ Analyse data, analysis and research to determine weaknesses in evidences, quality and limitations of analytics. ~ Analyse the wider implications of analysis and research to draw inferences on logistics operations. ~ Develop data management systems and databases for logistics process improvements. ~ Proficient in a data science or statistics programing language, preferably Python or R ~ Develop plans to implement innovative logistics solutions. ~ Develop technology solutions and automations to improve processes. ~ Evaluate risk factors that impact on efficiency. ~ Facilitate delivery of key outcome within team/ departmental projects. ~ Facilitate key activities and milestones in technology projects. ~ Facilitate team/ departmental projects. ~ Manage data through a combination of data mining, modelling, analysis, cost-benefit analysis, process mapping and/ or problem analysis to support data management initiatives. 
"
72,"Senior Associate, Big Data IM, Advisory",ERNST & YOUNG ADVISORY PTE. LTD.,"$4,100to$8,200Monthly","Roles & ResponsibilitiesEY Data and Analytics is the data and advanced analytics capability within EY Asia-Pacific.
 We have vibrant practices in Australia, New Zealand, Singapore, Hong Kong, Korea, The Philippines and Malaysia. EY Data and Analytics creates intelligent client organizations using data & advanced analytics.
 We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects, project managers, business analysts, data scientist, big data engineers, developers and consultants in the region.

 
 Due to our continued growth we are looking for a talented, inquisitive and proactive Big Data IM join our team. RequirementsREQUIREMENTS:   Bachelor degree and above in Analytics, Information Systems Management, Computer Science or related fields. Hands on experience in implementing data integration processes, designing and developing data models(ER/Dimensional/Vault), designing, developing and building in detail ETL/ELT processes or programs. Contributed in at least 2 phases of SDLC lifecycle and experience in Big Data, data warehouse, data analytics projects, data migration, change management process, and/or any IM (Information Management) related works. Experience with Hadoop Technologies such as HDFS/MapRFS, Map Reduce(II), Advanced HDFS ACLS, Hive, HBase, Cassandra, Impala, Spark, Drill, Sentry, Sqoop, Flume, Kafka, Storm, Zookeeper and zkClient tool Good understanding on Cloudera or Horton Works or MapR Hadoop Distribution with deep understanding of administration concepts Experience in working with RDBMS technologies such as, Oracle, Microsoft SQL Server, PostgreSQL, DB2, MySQL etc. Experience in MPP database technologies such as Teradata Hands-on experience on Spark, SparkSQL, Hive QL, Drill QL, Impala, Spark Data Frames and Flink CEP, Flink TableAPI&SQL as ETL framework Hands-on programming skill on Scala/Python using Spark/Flink Framework Strong knowledge of
Big Data stream ingestion and IoT streaming using Flume, or Kafka, Storm, MQTT, RabbitMQ Good understanding Spark Memory management with and without Yarn memory management Should have basic understanding on Cloudera Manager or HortonWorks Ambari and MapR Control System Should have experience developing and designing in one or more NoSQL database components and objects using Cassandra, Mongo, HBase, CouchDB/Couchbase, Elasticsearch Should have experience developing and designing in one or more NoSQL database technologies such as Cassandra, Mongo, HBase, CouchDB/Couchbase, Elasticsearch etc. Should good working knowledge of HCatalog and Hive Metadata. Should have working knowledge of Kerberos authentication tool Experience in commercial ETL tools like Talend, Informatica or Alteryx will be added advantage Greenplum, IBM Pure Data etc. will be an added advantage Experience in working with RDBMS technologies such as, Oracle, Microsoft SQL Server, PostgreSQL, DB2, MySQL etc. Experience in MPP database technologies such as Teradata, Greenplum, IBM Pure Data etc. will be an added advantage Good knowledge of data warehouse and data management implementation methodology. Good knowledge of the Information Management framework, including operating model, data governance, data management, data security, data quality and data architecture. Knowledge and experience in
 data visualisation concepts using tools such as SAS Visual Analytics or WRS, Tableau, Microsoft PowerBI or Reporting Services, IBM Cognos, SAP Business Objects, etc. will be an advantage. Ability to pick up new tools and able to be independent with minimal guidance from the project leads/managers. Strong analytical and creative problem solving capabilities. Ability to establish personal credibility quickly and demonstrate expertise. Ability to create a positive learning culture, coach and develop team members.  
 ADDITIONAL REQUIREMENTS:   3
to 10 years of experience in data warehouse, data analytics projects, change management process, and/or any IM (Information Management) related works. Delivered at least two (2) full SDLC lifecycle projects. At least one of the industry or domain experiences in Banking/ Telecommunications/ Consulting Preferably with experience in implementation best practices involving data management, data reconciliation, data duping, scheduling, etc. Able to assess design considerations in the aspect of data management and integration Experience with Agile/SCRUM/Kanban software implementation methodology Should have good knowledge in DevOps engineering using Continuous Integration/Delivery tools such as Docker, Jenkins, Puppet, Chef, GitHub Atlassian Jira etc. Certification in any of Hadoop Big Data tool/technology, data integration, data management, or visualisation tools is an added advantage. Knowledge about the infrastructure paradigms such as OS, network etc. is an added advantage.  
 ABOUT US The EY Data and Analytics team are specialists in information management, advanced analytics and business intelligence. We implement the information-driven strategies and systems that offer the highest return on investment, profitability, and service or policy outcomes for our clients. Our consultants work to create a lasting organisational culture that encourages people to use information and technology more creatively and more intelligently to get better business results.
 

 WHY US We work with some of the worlds most influential businesses on many of their most exciting Bigdata and IoT projects. Our sheer scale, scope and reach will provide you with the experiences, challenges and contacts that can inspire you for life Our culture means you can succeed whatever your background, work to your natural strengths, and learn from a remarkably diverse and talented group of people in a dynamic and collaborative global business environment 
 
 
 WHAT WORKING AT EY OFFERS EY offers a competitive remuneration package commensurate with your work experience where youll be rewarded for your individual and team performance. We are committed to being an inclusive employer and are happy to consider flexible working arrangements, where this may be needed, guided by our FWA Policy. Plus, we offer: Support, coaching and feedback from some of the most engaging colleagues around Opportunities to develop new skills and progress your career The freedom and flexibility to handle your role in a way thats right for you 
 
 ABOUT EY  As a global leader in assurance, tax, transaction and advisory services, were using the finance products, expertise and systems weve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, well make our ambition to be the best employer by 2020 a reality. 
 If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.  Join us in building a better working world.  Apply now"
73,Data Scientist,SENSE INFOSYS PTE. LTD.,"$4,500to$6,500Monthly","Roles & ResponsibilitiesWe are looking for a savvy Data Engineer/Scientist to join our growing team of analytics experts and will be responsible for expanding and
optimising
our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. Responsibilities:  Create and maintain optimal data pipeline architecture, Assemble large, complex data sets that meet functional / non-functional business requirements. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS big data technologies. Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics. Work with stakeholders including the Product, Analytics and Solution teams to assist with data-related technical issues and support their data infrastructure needs. Keep our data separated and secure across national boundaries through multiple data centers and AWS regions. Create data tools for analytics team that assist them in building and optimizing our product into an innovative industry leader. Work with data and analytics experts to strive for greater functionality in our data systems.  
 Requirements
  Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.   Experience building and optimizing data pipelines, architectures and data sets. Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. Strong analytic skills related to working with unstructured datasets. Build processes supporting data transformation, data structures, metadata, dependency and workload management. A successful history of manipulating, processing and extracting value from large disconnected datasets. Working knowledge of message queuing, stream processing, and highly scalable big data data stores. Experience supporting and working with cross-functional teams in a dynamic environment. With 3+ years of experience in a Data Engineer role, who has attained a degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools:
 	 Experience with big data tools: Hadoop, Spark, Kafka, etc. Experience with relational SQL and NoSQL databases, including Postgres and Cassandra. Experience with data pipeline and workflow management tools Experience with AWS cloud services Experience with stream-processing systems: Storm, Spark-Streaming, etc. Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.   "
74,Scientist (Data Analytics)  /  I2R (A*STAR),A*STAR RESEARCH ENTITIES,"$4,500to$9,000Monthly","Roles & ResponsibilitiesAbout the Institute for Infocomm Research (IR) The Institute for Infocomm Research (IR) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapores largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are looking for a data scientist who can contribute on text mining-related projects. Researchers with expertise in the areas of natural language processing, deep learning, machine learning, ontology engineering and/or knowledge-based data analytics are welcome. In particular, we may collaborate with the successful candidate to establish research milestones in integrating text mining with common-sense and/or domain knowledge by constructing, populating and/or engineering ontology (or knowledge base). Responsibilities:  Deliver results: Develop new technologies, improve performance 
Demonstrate long-term vision, while effectively supporting short-term goals  Requirements PhD in computer science or related topics
 Being an excellent team player Good interpersonal and communication skills  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
75,Scientist (Data Analytics)  /  I2R (A*STAR),A*STAR RESEARCH ENTITIES,"$4,500to$9,000Monthly","Roles & ResponsibilitiesAbout the Institute for Infocomm Research (IR) The Institute for Infocomm Research (IR) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapores largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg We are looking for highly-motivated and skilled data scientist
to work on a new initiative on developing advanced automatic data pre-processing techniques for facilitating key data analytics applications in various industry domains, including advanced manufacturing and engineering, financial services, healthcare, and urban development. Successful candidate will work with a team of data scientists and data engineers to develop novel methodology for automatic data integrity check, data imputation, and segmentation for structured data and time-series data commonly generated by industry companies. Successful candidate will have the opportunity to tap into a large pool of industrial data from different disciplines and to interact with the companies to understand their real data needs. Successful candidate will also engage in project scoping with industry companies to develop solution to address the data analytics needs. 
 Requirements PhD in the field of computer science, computer engineering, mathematics and statistics, electrical engineering, or other data science intensive program. With expertise in at least one of the following areas: data mining and management, machine learning, statistical learning, time-series analytics Entry Level candidate with relevant experience may apply Ability to work independently to innovate, and develop prototypes to demonstrate the feasibility of research ideas Good knowledge on data analytics, machine learning, data mining and experiences in solving real-world problems Proficient in Python, R, C++ or Java Prior industry experience with engineering, financial services, healthcare, or urban development is a plus. Able to deliver under tight schedule Good team player with both research and engineering ethics Good interpersonal and communication skills  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified."
