,job_title,company,employment_type,salary,job_description
99,Salesforce Business Systems Analyst,WORKATO PTE. LTD.,Full Time,Salary undisclosed,"Roles & ResponsibilitiesWorkato is an award-winning cloud intelligent automation and integration platform with enterprise-grade capabilities and no coding required. Workato seamlessly integrates with over 300+ business applications and enables integration and task automation across all those apps.  Recognised as a Leader in Forrester Wave iPaaS for Dynamic Integrations and Leader on Debut in Gartners Enterprise iPaaS Magic Quadrant, Workato is the only company that provides an easy, self-service way to integrate cloud and on-premise applications for all types of businesses  ranging from Fortune 500 Enterprises as well as SMBs. Workato is looking for Salesforce Business Systems Analysts to be the vital link between our information technology capacity and business objectives by supporting and ensuring the successful completion of analytical, building, testing and deployment tasks of our internal processes. For a glimpse into what a Business Systems Analyst does in Workato, refer to our Inside Workatos Kitchen ebook (http://bitly.com/WorkatoKitchen), which includes projects and processes that our team has accomplished internally over the past year. RESPONSIBILITIES   Work across all functional areas and with management in Workato to develop sound business processes and identify automation opportunities in these processes.   Manage and implement projects that help coordinate and integrate the flow of critical business data through multiple functional areas and applications. This may include assessing and procuring applications for internal use and building new connections to those applications through APIs.   Manage the end-to-end lifecycle of applications and processes used internally, from gathering and documenting requirements to implementation and handling ongoing improvements to them.   Documentation of processes, applications and integrations used; educate users on the best practices of these processes   Develop comprehensive management reporting capabilities by using data from multiple sources and visualising to gather insights on these data.   Requirements Prior experience developing and maintaining Salesforce.com Visual Force pages, Apex classes and triggers as well as relational databases and data integration tools is a must  Degree from a cross-functional background such as Business IT, Information Systems Management or other similar disciplines   Ability to translate business requirements into technical specifications   Good understanding of integration concepts, methodologies, and technologies   Comfortable with interpreting API documentation of cloud-based applications, and know basic programming logic and SQL   Understanding of marketing SaaS tools is a plus (e.g. Marketo)   Excellent written and oral communication skills in English  "
100,Business Analyst,STANDARD CHARTERED BANK,Full Time,"$4,250to$8,500Monthly","Roles & Responsibilities
 About Standard Chartered
 We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.

 
 To us, good performance is about much more than turning a profit.
 It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.
 
 We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base. The Role Responsibilities The role will involve working with a diverse range of business and functional teams from across the Group to:  Review vendor / Internal contracts to ensure that they are compliant to regulators requirements
 Work with legal counsel to draft and finalise contracts, provide negotiate support to stakeholders when required Analyse and interpret data/information that assists management with decision-making of OCIR in scope contracts Manage the BAU contract process from an OCIR perspective, provide support to the stakeholders, ensure internal controls are in place and maintained Generate reports required to monitor contract compliance for regulatory reporting Engage globally with internal stakeholders to ensure that contracts are created/amended in a timely manner to meet programme and regulatory timelines Follow up and support the implementation of contract mapping to service catalogue Support in addressing and resolving any issues that arise throughout the day to day operation of the BAU process.  Responsibilities  This role requires you to use your analytical experience across various facets of the Business to ensure that PRA assessment criteria pertaining to operational continuity is met by the contract Partner with a wide range of internal stakeholders to review and remediate contracts Articulate findings of internal contract analysis clearly, concisely and accurately, including effective use of excel pivots and metrics management. Timely escalation where issues are identified, effective usage of RAID logs. Provide status updates to 
and relevant stakeholders as required and respond to any queries raised  Requirements

 
Strong analytical skill-set is required 

 
Positive approached to making it work in an effective and efficient manner 

 
Exposure to contractual documentation is highly desired. 

 
Drafting of contract documentation an advantage. 

 
Broad operational knowledge across banking business and products lines is desired. 

 
Experience within a regulatory framework is desirable. 

 
Ability to work quickly and accurately under pressure. 

 
Excellent written and verbal communication skills. 

 
Proactive, positive attitude and desire to work as a team and help the Resolution Planning team to achieve its broader objectives. 

 
Able to understand and interrogate detailed data/information without losing sight of the bigger picture 

 
Highly organised and able to manage own workload. How to Apply Please visit - https://scb.taleo.net/careersection/ex/jobdetail.ftl?job=1800023333&lang=en 
to apply now and take the next step in fulfilling your potential. You can search and view current opportunities across our global organisation and apply immediately by visiting www.standardchartered.com. To help speed up your application, please note the following:  You will need to log in (or register if you are visiting our careers site for the first time) before you can apply for a specific role Some roles may require you to undertake an online talent assessment in addition to completing the application form (to facilitate this process it is preferable that you provide us with an email address as part of your contact information) We will ask you about your education, career history and skills and experience, it may be helpful to have this information at hand when completing your application  It usually takes 15 - 20 minutes to complete the application form; you can save your application at any time and return to complete it at your convenience. Diversity & Inclusion Standard Chartered is committed to diversity and inclusion. We believe that a work environment which embraces diversity will enable us to get the best out of the broadest spectrum of people to sustain strong business performance and competitive advantage. By building an inclusive culture, each employee can develop a sense of belonging, and have the opportunity to maximise their personal potential. 
"
101,"VP  /  AVP, Data Scientist, Investment and Trading Technology, Technology and Operations  (180002YF)",DBS BANK LTD.,"Permanent, Full Time","$6,500to$13,000Monthly","Roles & Responsibilities Selecting features, building and optimizing classifiers using machine learning techniques Data mining using state-of-the-art methods Enhancing data collection procedures to include information that is relevant for building analytic systems Processing, cleansing, and verifying the integrity of data used for analysis Doing ad-hoc analysis and presenting results in a clear manner  Requirements Excellent understanding of machine learning techniques and algorithms; pattern recognition and predictive modeling skills to address business problems Undertaking data collection, preprocessing and analysis of structured and unstructured data Experience with common data science toolkits, such as R, Python. Experience with programming languages such as Java an asset.
 Proficiency in using query languages such as SQL, Hive, Pig. Being able to use Spark is an added advantage Experience with NoSQL databases, such as MongoDB, Cassandra, HBase
 Communicate results and ideas to key decision makers
 Experience with data visualization tools such as Qlik or any other open source visualization tools. Good to have treasury & market product knowledge as well Good applied statistics skills such as distributions, statistical testing, regression, etc. Good scripting and programming skills
 Data-oriented personality with problem-solving aptitude Masters Degree in Computer Science, Statistics, Applied Math or related field 4+ years of hands-on analytics and / or model development. "
102,Business Systems Analyst - Java side server scripting (Ref 22416),Company Undisclosed,"Permanent, Contract","$3,300to$6,600Monthly","Roles & Responsibilities- Identify and analyze the stakeholders involved in the requirement process; prepare and lead requirement gathering activities - Gather, analyze and formalize user business processes & requirements; verify & validate the requirements and document them into functional and non functional specifications. - Perform screen mockup and prototype to confirm requirements, understand the project scope and ensure requirements adhere to project scope. - Analyze and consider the integration between modules and interfaces with other systems. - Perform requirement traceability, identify out of scope requirements and escalate scope creep; review, identify and resolve conflicting, incomplete and inaccurate requirements. - Review requirements with stakeholders and seek timely approval, participate in negotiation of out of scope items. - Develop technical design specification and translate technical design into process/program specification - Perform code reviews to ensure team members apply best practices, conform to coding standards and meet specification - Code programs based on best practices and programming guidelines adopted by project. - Develop and perform automated unit testing; prepare test scenario, test data, capture test result to ensure the quality of the program. - Track and resolve all reported defects to closure, analyze and identify root cause and ensure fixes are done and tested before rolling out for retest. - Develop training material and prepare documentation including system and user manual required to support the system Support Role - Provide post implementation support including production support, user query and change requests. - Perform workaround and problem resolution. Requirements- Technical qualifications and capabilities in Java-side server scripting pabilities will be an added advantage but not required (one or more of the following): - Possess initiative and disposition with a strong commitment and orientation towards results and high quality standards - Creative and strong problem solving skills and ability to think out of the box - Team player with strong communication and interpersonal skills - Technically competent with ability to pick up new technology - Good analytical and Design skills - Good SDLC and ITIL experience 
 Licence No: 12C6060"
103,"AVP  /  Senior Associate, Data Scientist, Risk Management Group (180001O1)",DBS BANK LTD.,"Permanent, Full Time","$6,000to$11,000Monthly","Roles & Responsibilities Work with Credit and Business teams to define the problem statement and develop solutions with advanced analytical techniques to address key challenges Work with data analyst, IT and operations to identify, process and wrangle the data Design experiments to demonstrate business value of analytics solutions. Including testing the solution with real data and quantify business impact/benefit Implement successful experiment to production Create reusable assets and share learning with others  Requirements Degree in computer science, statistics, or other quantitative fields with at least 3 years of industry experience developing data science solutions, or at least 6 years strong industry experience with Degree in Quantitative field. Must have excellent problem solving skills Experience in machine learning with excellent data processing and data engineering skills. Familiar with standards for model development Have developed and implemented industry machine learning solutions Highly proficient with programming in SAS or R Good communication and presentation skill "
104,Data Scientist,SHOPEE SINGAPORE PRIVATE LIMITED,"Permanent, Full Time","$3,800to$7,500Monthly","Roles & ResponsibilitiesResponsibilities:   Develop and enhance data infrastructure using frameworks such as Hadoop, SPARK and Flume Design and build new data models and architects that will provide intuitive analytics Design and build reliable data pipelines that will efficiently move data to our Data Warehouse Design and develop new systems and tools that will enable teams to utilise, understand and process data at faster speeds  
   
 RequirementsRequirements:   Minimum B.S. degree in Computer Science or a related technical field Excellent communication skills with the ability to identify and communicate data driven insights 2+ years of Python development and Unix/linux system experience 2+ years of SQL (Mysql, Mssql, Hive, etc)
experience You must also possess at least 2 of the additional requirements as below 2+ years of working experience in software development/programming in one of Java, C/C++. OS environment: Linux/Unix 2+ years of working experience with distributed databases or distributed systems 2+ years of working experience with dimensional data modelling & schema design in Data Warehouses 2+ years of working experience working on BigData analytics pipelines (Hadoop, Hive, ETL, RDBMS-Hadoop data management tools like Sqoop)  
   
"
105,O&T - ESST Data Fabric IT Business Senior Analyst Singapore -18028449,CITIBANK N.A.,Full Time,"$6,666to$11,208Monthly","Roles & ResponsibilitiesOverview of Citi: Citi, the world leading global bank, has approximately 200 million customer accounts and a presence in more than 160 countries and jurisdictions worldwide. Citi provides consumers, corporations, governments and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, transaction services, and wealth management. Citi enables clients to achieve their strategic financial objectives by providing them with cutting-edge ideas, best-in-class products and solutions, and unparalleled access to capital and liquidity. Job Description Team/Function Overview  Markets Data team is building the next generation Data fabric to solve for Business, Analytics and growing regulatory needs. Vast amounts of data assets have been accumulated through the years. Data fabric built on emerging technologies will facilitate the data being inspected, cleansed, transformed for support decision-making This job involves being part of a dynamic team and contributing towards software development of core components within the next generation Big Data Platform.
 The ideal candidate will have an eye for building and optimizing data systems and will work closely with our systems architects, data scientists, and analysts to help direct the flow of data within the pipeline and ensure consistency of data delivery and utilization across multiple projects  Role / Position Overview 
 The Decision Support Framework (DSF)  Responsible for the provision of real-time and historical market and order analytics. The DSF team is primarily focused in the niche big data technology, KDB+, developing, implementing and maintaining such solutions.
 This position is for a developer within the APAC Decision Support Framework development team. The main objective of the role is development, implementation and support of a range of Trading Analytics applications including pre trade, post trade and market data analytics. Significant development in the KDB Q language is part of the role. It is also required the candidate has basic understanding the other open source languages like Java and Big data frameworks primarily running on Unix and Linux OS. The role will encompass a level of client liaison in Globally in order to define business requirements, and to ensure a consistent global approach is taken to meet long term strategic system roadmap needs in these areas. An important aspect of the role will be to participate in all the global technology projects.  Key Responsibilities: The role will include but not be limited to the following:  Work closely with the technological partners and Business to develop applications related analytics and Business data analysis Analyze and develop and Implement Technical solutions Adaptability, tailoring testing solutions to constantly evolving requirements Collaborate with Business and Support teams to clarify specs, raise issues/concerns and identify risks throughout the software development life cycle Ability to read through Business requirements and construct application in KDB/Java individually or as group Foster a spirit of innovation and collaboration in regards to development. Actively contribute to ongoing process improvement to help streamline the development life cycle Collaborate and partner closely with program managers, development leads, test leads and production support teams to ensure that software is tested to highest quality Be an active participant in engineering excellence in continuous improvement of dev ops area that will result in productivity increase for the group  Development Value: Candidate has the opportunity to be a major contributor to the Citi Markets Data Strategy and contribute towards the goal of increasing revenue using key metrics for decision making. The candidate will work with bright and innovative individuals both on the business and technology side and the successful candidate can make a significant difference to the business performance. 
 
 
 
 RequirementsKnowledge/Experience:  5-8 years of experience within the technology or banking industry Experience of developing supporting q/KDB+ solutions Extensive experience in developing automated testing solutions for both for GUI and non-GUI testing. Strong knowledge of full software development and testing lifecycle.  Skills:  q/KDB+ programming language experience Strong development lifecycle understanding and capability Skilled in the use of industry standard functional Test tools e.g. JIRA Scripting (Shell) Unix (preferably Linux)  Qualifications:  Graduate degree in Computer Science, Information Systems or equivalent quantitative field and 5-8 years of experience Exceptional candidates who do not meet these criteria may be considered for the role provided they have the necessary skills and experience.  Competencies  Strong analytical and problem solving skills Excellent verbal and written communication skills Extensive knowledge of industry standard Testing tools Goal and deadline oriented Must demonstrate initiative to react to changing priorities Self-motivated individual and creative thinker who will take ownership and accountability  What we Offer  As well as a competitive salary and consideration for a yearly discretionary bonus Citi offer 23 days paid annual leave Medical insurance with Aviva Healthcare In addition, we offer a competitive maternity, paternity and adoption leave scheme and employees also have the option (provided they have a student loan from the Student Loan Company) to divert saver and company match contributions to their student loan. We pride ourselves on our ability to offer employees a number of lifestyle benefits including; on site restaurant and coffee shops, online shopping and concierge service and subsidized clubs and societies Our select benefit package offers you the opportunity to customize your benefits according to your own lifestyle preferences and includes corporate discounts, memberships and a range of additional extras Our vast range of diversity networks and on site multi faith room demonstrates Citis commitment to growing a diverse workforce  To apply online via the careers section of Citi E career website, please click via the link below: https://citi.taleo.net/careersection/2/jobdetail.ftl?lang=en&job=18028449"
106,Business Analyst,ASPIRE SYSTEMS CONSULTING PTE. LTD.,Contract,"$3,000to$4,000Monthly","Roles & ResponsibilitiesLooking for a Business Analyst with minimum 2-3 yrs of experience Responsibilities: You assist stakeholders in understanding the challenges and functional benefits of implementing Business Profiles for role-based access You endeavor to meet key regulatory and TRM guidelines as applied to Access Management (especially HKMA and MAS) You contribute in maintaining quality of reference data and inventories used as part of IAM processes You manage requirements and risks in a global/regional/local set-up and with cross-border access to applications and data You set up and conduct meetings and workshops with business and functions representatives in order to document business scenarios and prepare the roll-out of Business Roles You agree with business process owners on use cases and scenarios where Business Roles can be effective and beneficial to them, and you prioritize them You directly manage every aspect of the change management execution plan by following the agreed process and procedures You perform functional testing and obtain required signoff in order to guarantee a robust solution is delivered You escalate risks and issues to stakeholders and management, and you propose and execute mitigation plans You contribute to the production of IAM KPI, KRI, and dashboards, including for Steering Committee meetings You help maintain project and BAU documentation You contribute to the training of end-users using available training material RequirementsYou have acquired practical experience of IAM through your work, and your may also hold one or more security certifications You are a high-energy individual with a strong drive to deliver tangible benefits to the Bank You have perfect mastery of English, you have outstanding interpersonal skills and are comfortable engaging with senior stakeholders over the phone and face-to-face You are confident and able to influence others. You can lead actions and handle situations of conflict You are a good listener and are able to communicate technical topics using business terms You are analytical, can translate analytical thinking into solutions and present them to stakeholders and management You have excellent time management and are able to multi-task You are creative, resourceful and highly motivated You are comfortable working under supervision by a Senior Analyst Qualifications: Bachelors or Masters degree in a relevant field of study Previous experience in an international bank preferred but not mandatory Around 2-3 years of experience as a BA"
107,Senior Business Analyst,POLARIS CONSULTING & SERVICES PTE. LTD.,Permanent,"$11,000to$13,000Monthly","Roles & Responsibilities Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions. Leading ongoing reviews of business processes and developing optimization strategies. Conducting meetings and presentations to share ideas and findings. Performing requirements analysis. Documenting and communicating plans to cross-functional team members and management. Gathering critical information from meetings with various stakeholders and producing useful reports. Working closely with clients, IT teams, and managerial staff. Providing leadership, training, coaching, and guidance to junior staff. Performing/Managing user acceptance testing. Monitoring deliverables and ensuring timely completion of projects.  Requirements Extensive experience in Corporate banking specializing in Global Cash Management and Liquidity Management Extensive experience in Online and Direct Payment Initiation Channels, Multi-Currency Payments, Payment Hubs, Initiation, Filtering, Routing, Posting, Clearing, Settlement, Tracking and Reporting of Payments, SWIFT messages. Experience with Vendor product and platforms like GCP, GPP & LM Intellect is highly recommended Experience as scrum master and has experience in the past working in agile teams for agile delivery Front to back experience including client onboarding and external gateway integration "
108,BAU Analyst and Support,KELLY SERVICES (SINGAPORE) PTE. LTD.,Contract,"$5,000to$7,500Monthly","Roles & ResponsibilitiesWe are seeking a highly motivated candidate for the position of Functional/Systems Analyst. 
 Candidate will be part of the dynamic team that undertake BAU responsibilities in supporting
 Payment System. 
 Responsibilities: 
 









 Manage service requests and support applications related queries. 









 Work with users and vendors on issues, resolution and follow up in the timely manner 









 To investigate and resolve incidents as well as perform root cause analysis. 









 Manage and follow up the problems with the vendors and make sure the problems are eventually resolved. 









 Work with vendors to understand and apply hotfixes with proper test management cycle until production deployment 









 Work with business user on requirements, gathering, testing and implementation of system enhancements 
 
 RequirementsQualification: 
 









 At least 1-4 years of experience 









 Experience in system development, integration and implementation 









 Experienced in working with different teams on medium to complex regional channel systems will be an advantage. 









 Possesses system support or development experience with knowledge on the following will be an advantage: a)







 Technical knowledge J2EE, Oracle, SQL, Unix/Linux, Web application development, IBM MQ b)







 3 tier application architecture c)







 Payment domain-related systems (SWIFT, ISO20022,etc)"
109,ERP Business Analyst,SYNERGIX TECHNOLOGIES PTE LTD,Permanent,"$3,000to$4,000Monthly","Roles & ResponsibilitiesJob Descriptions  Understand clients' business functions and objectives so as to propose appropriate and efficient solutions. Conceptualize and Design user friendly interface. Prepare detail specifications, design documents and test cases. Manage scope of work and project schedule based on the agreed timeline committed to clients. Monitor entire SDLC development. Train clients on the ERP software solutions discussed and developed for them. Make sure successful live run of all clients assigned. Carry out post implementation support.  RequirementsRequirements  Degree from Computer Science or System Information, Accounting or Business Studies Strong interest in ERP solutions, e.g. Project Costing, Supply Chain Management, and Payroll. Good communication in both English and Mandarin to liaise with associates. Keen interest in Project Implementation and Management. Good Inter-personal communication skill. Proactive, highly self-motivated, result oriented and can work independently. Must be very Customer Oriented. Ability to prioritize and handle multiple tasks. "
110,Data Engineer,GRASSHOPPER PTE. LTD.,Full Time,"$10,000to$12,000Monthly","Roles & ResponsibilitiesWe seek a Data engineer to support our high frequency trading activities and quantitative research. At Grasshopper we recognize that effective research and trading strategies are built upon solid foundations in data collection, storage and serving. Grasshopper trades at a number of exchanges globally and we are looking for an experienced data engineer to help manage and develop our ever expanding data collection pipelines.  As a Data Engineer, you are expected to build data pipelines that efficiently and reliably move data across systems and platforms as well as the expertise to design and build the next generation of data tools that enable other units to perform research on their data. RequirementsResponsibilities  Implement and maintain data pipelines and the infrastructure required. Perform all needed data cleansing and transformation to improve quality of input for research. Work closely with traders and researchers to consume and analyze data faster and more efficiently. Deploy new data models that provide intuitive analytics across the firm. Manage the entire data processing system and advising any necessary infrastructure changes.  Qualifications:  Extensive development experience in one or more of Scala, Haskell Experience in Prolog Extensive development experience in functional programming Experience in SQL. Experience with data modelling and designing/supporting Data Warehouses. Experience in Game theory Experience working with distributed systems. Experience with machine leanring. Experience with (NoSQL) databases such as hadoop, cassandra A degree (BSc or MSc) in a related field, preferably in Computer Science or Computer Engineering. Minimum 3 years of experience "
111,Data Analyst,THE STAKEHOLDER COMPANY PTE. LTD.,Full Time,"$3,000to$4,000Monthly","Roles & ResponsibilitiesThe Data Analyst is central to the development of the volume, accuracy and quality of the companys core data sets through stakeholder and issue driven research and data collection. Your core tasks will be to: - Collect and evaluate information on stakeholders (individuals and organizations) and relationships - Identify news sources for specific projects, define filter criteria and evaluate relevant news items. Further tasks can be added according to your interests and performance. Requirements
   Excellent problem-solving capabilities and research skills;   An ability to adapt readily and multi-task;   Enthusiasm for elegant, pragmatic solutions;   Motivation, talents, and passion;   Ability to manage a small team and ensure high standards of work;   Strong plus: Technical skills (data analysis, statistics, computer science, engineering background or experience with web technologies, etc.)   Strong plus: track-record in business development or digital marketing   
"
112,Business Analyst - Regulatory Reporting,COMTEL SOLUTIONS PTE LTD,Contract,"$6,000to$9,000Monthly","Roles & Responsibilities Require the elicitation and specification requirements, solution requirements, impact analysis, solution definition, data mapping, testing, documentation Support delivery of solutions through SDLC/Agile methodology, communication across technology, subject matters expertise and relevant stakeholders Provide guidance and mentoring to other less experiences business analysts within the team  Requirements Prior experience working as a Business Analyst in the Financial industry Good understanding and working experience of Regulatory Reporting to MAS (MAS 610) and/or other Local Regulatory Reporting is advantageous Knowledge in Financial products Understand project management best practices/ methodologies/ project lifecycle IT skills  MS Office and SQL queries scripting Experience in user testing and project management "
113,Digital Business Analyst,INTELLECT MINDS PTE. LTD.,Permanent,"$16,500to$18,000Monthly","Roles & ResponsibilitiesCompany Overview Intellect Minds is a Singapore-based company since 2008, specializing in talent acquisition, application development, and training. We serve BIG MNCs and well-known clients in talent acquisition, application development, and training needs for Singapore, Malaysia, Brunei, Vietnam and Thailand. Our client is an establish company a, leader within their industry, is now looking for a Digital Business Analyst to join their esteemed organization. Department : Global Operations & Technology Team : Digital Channels Team Job Title : Digital Business Analyst (IT) Type / Grade : Director Reports To : Business Solutions Head, Digital Channels Job Description Job Summary: The Business Analyst serves as a liaison between the subject matter experts on the business side and application development. The focus of this role will be to analyze business and functional requirements for multiple projects at the same time that may be in found in different phases of the SDLC/Agile processes, working alongside Project Management/Scrum Master, Application Development, Architect teams, Quality Assurance teams to ensure the requirements provided by the business are delivered in the IT application. As a Business Coordinator and Cross-Functional Business Stream Lead on the implementation of key business and technology change initiatives within the Wealth Management process and application domains, this role will be responsible for:  Organize meetings or workshops to interview or discuss with users, subject matter experts to understand business requirements and where necessary, worked with the business subject matter experts to produce business workflow for the purpose of producing Business Requirements Document (BRD) and Functional Specifications Document (FSD) (or the equivalent agile artifacts) in alignment to IT roadmap and strategies.  Work closely with the Business Lead and/or User Representatives to ensure that solution is designed to meet the business needs  Work with the various business stakeholders and supporting technology teams to produce the business paper.  Work with the Technology Development team and/or Solution Architects to deliver prototypes (when relevant) and evaluate together with business users to align expectations and to lock down requirements.  Coordinating the cross-functional team members and activities for business work streams or entire change and technology implementation initiatives while ensuring all business requirements are addressed within functional specifications and report the progress to the Project Manager/Scrum Master and/or functional stream leads accordingly.  Support Business Leads or user representatives in the preparation of training plans or materials, user manual  Support the Test managers in the review of test artefacts like test plan, test scenarios, test cases and data  Assist in coordinating prioritization of business requirements throughout the solution development lifecycle.  Provide business analysis and business related issue resolution to all cross-functional teams throughout the product development lifecycle.  Responsible for promoting and developing sound process and system change management practices which includes the planning of training activities for the introduction of new systems or processes as well as the delivery of the required documentation.  Maintain a working knowledge of business processes and solution design. Perform gap analysis where known business requirements are not met. RequirementsRequirements :  Bachelors degree in Information Systems, Computer Science or financial discipline.  At least 15 years of experience working as Business Analyst or Solution Manager in a similar discipline.  Must have knowledge and experience in digital banking  Must understand Private Bank front, middle and back office transaction processing  Experience in writing use cases, use case modeling, workflows, business processes, business requirements document, functional specifications document and user requirements to functional design traceability matrix  Understanding of data and information structures in an IT system environment including that of data modeling and database design appreciation.  Experience in agile or iterative analysis, design and delivery methods  Experience in the discipline of System development life cycle (SDLC) process ,especially in the solutioning, analysis, testing and implementation phases of the SDLC processes.  Good interpersonal skills and excellent communication skills, able to handle multiple projects and priorities concurrently and manage business expectations accordingly."
114,Reinsurance Data Analyst,AXA INSURANCE PTE. LTD.,Full Time,"$3,800to$6,000Monthly","Roles & ResponsibilitiesThe AXA Group is a worldwide leader in insurance and asset management, with 166,000 employees serving 103 million clients in 64 countries. AXA is the number 1 Global Insurance Brand for the 9th year running, and is also the number 1 insurance company in the Top 50 Most Innovative Companies. 
 The position contributes to strengthen the Reinsurance Optimization capabilities of AXA Singapore as one of the main local market players and within the dynamic environment of a worldwide leading insurance group. Linking Reinsurance modelling, profitability enhancement and strategic business decision is a key challenge for the department to ensure the companys profitable growth and assist AXA to maintain its reputation as an innovative and technical company. An independent team member with a self-starter mindset, the Reinsurance Data Analyst within the Actuarial team is expected to efficiently identify pockets of optimization within several sub sections in the GI and Life Reinsurance portfolios. It is a role allowing a deep dive into the Finance and Reinsurance expertise, providing a wide exposure across the GI, Life and Health business, allowing the analyst to develop cutting hedge Reinsurance technics and business understanding across portfolios per LoB and treaties. A glimpse of your daily mission:  Improve our capability to quantify retention for all LoBs in GI and Life, this includes managing different systems and enhance calculation of earnings impacts per band of exposure Develop if possible our capabilities in flood modelling in Singapore and overseas to which we are he exposed taking examples on
 known systems (Aon Analytics, Guy Carpenter) Enhance Life Admin system on Reinsurance Administration Management (RAM) Phase II - claims module that would be used by Reinsurance and Life teams  RequirementsSuccessful qualifier of this mission:
  Graduate in Engineering, computer science, actuarial sciences or financial engineering Strong IT knowledge: Excel, VBA, SAS,R, Python Excellent analytical and problem-solving skills Good presentation, communication and inter-personal skills Strong team player and influencing team / internal stakeholders positively Solid project management skills due to large number of parties involved and tight deadlines Timely and accurate delivery Independent innovative with a self-starter mindset  Please send us your updated resume to hr@axa.com.sg As we are continuously looking for great talents like you, do share AXA career opportunities with other talents! Link for our website is https://www.axa.com.sg/about-axa/careers To all recruitment agencies
AXA ONLY accept resumes from appointed agency under our Preferred Supplier List. Please do not forward resumes to our jobs alias, AXA employees, any AXA entities or company location. AXA is not responsible for any fees related to unsolicited resumes.
 
"
115,Senior Business Analyst,ADECCO PERSONNEL PTE LTD,Contract,"$7,000to$10,000Monthly","Roles & Responsibilities Liaising extensively with internal business users, external clients, exchanges, regulatory authorities across the region. Producing project feasibility reports. Analysing new business requirements from Front-to-Back  all the way from client sending an order to it being traded, booked and settled. Translating client requirements into highly specified project briefs. Providing Project Management role for certain specified projects. Identifying options for potential solutions and assessing them for both technical and business suitability. Creating logical and innovative solutions to complex problems. Drawing up specific proposals for modified or replacement systems. Presenting proposals to users or clients. Working closely with developers and a variety of end users to ensure technical compatibility and user satisfaction. Drawing up a testing schedule for the complete system. Working with IT/business teams on implementing any new systems or workflow. Planning and working flexibly to a deadline. Writing user manuals. Providing training to users of a new system. Keeping up to date with technical as well as industry sector developments.  
 Requirements Graduate in numerical orientated degree such as Computer Science or Computer Engineering. The ability to work in a team focused environment contributing to an open source platform utilizing an agile methodology such as scrum. Any experience with test driven development, or behavior driven development is desirable. Liaising extensively with internal business users Ability to adapt to a dynamic environment with changing priorities with the right attitude and constantly seek opportunities to improve processes and seek efficiencies. Excellent communication, written and presentation skills  also strong team work, being organized and methodical will further enhance your credentials.. Proven track record of strong analytical skills; the ability to assess business processes, their potential technology solutions and seek areas for improvement.
 An understanding of trade workflow and back office operations a plus.  
"
116,Business Analyst,PAN-UNITED CORPORATION LTD.,"Permanent, Full Time","$3,000to$4,000Monthly","Roles & Responsibilities Analyses the feasibility of, and develops requirements for new systems or enhancements to existing systems, ensures the system design fits the needs of the users. Monitors project progress by tracking activity, resolving problems, recommending actions. Identifies opportunities for improving business processes through information systems. Provides references for users by writing and maintaining user documentation, providing help desk support, training users. Study business functions; gather information, evaluating output requirements and formats. Reviews, analyses and creates detailed documentation of business systems and user needs. Research and prepares statistical reports for use in management decision-making. Participates in user acceptance testing and testing of new system functionality.  Requirements Degree in business administration or related field Preferably at least 2 years experience in related field Knowledge in Hyperion and Oracle is an advantage Able to work independently, meticulous, positive attitude and a team player Good interpersonal and communication skills Proficient in MS Office "
117,"Data Analyst, Pricing Analytics",Company Undisclosed,Contract,"$4,000to$5,000Monthly","Roles & ResponsibilitiesWe are seeking a Data Analyst with experience working on academic or industry projects running predictive, prescriptive and descriptive analytics. Your role is to provide accurate, timely, relevant and quality analysis for a dynamic business. You will be reporting to Senior Analytics Manager and offer effective reporting, insight and analysis for multiple stakeholders, internal clients, locations and priorities. You will be working hands-on and delivering flexible solutions ensuring stakeholder satisfaction  As Data Analyst, you will be responsible for:  Advanced analytics, machine learning and dashboard building Liaise both internally within the team as well as externally with business stakeholders for completion of data analytics and reporting. Support the development and testing of hypotheses across all functional data sets supplied by the business Implementing and analyzing algorithms that will substantially impact the companys understanding of its data Support the proof of concept, and development of tools and applications Work with the manager to define key questions and projects that will transform the business This is a contractor role renewable on an annual basis This position will be based in Singapore  
   Requirements
  Master or Bachelors degree in Analytics, Computing, Engineering, IT, Math, Economics, Statistics, Sciences or other technical discipline; Expert knowledge of R programming and Qlik Sense; VBA / Python / SAS EM / SAS EG experience is desirable; Ability to understand and extract data from large and complex data sets (structured & unstructured) Basic knowledge of data quality measurements, methodology and reporting tools Basic knowledge of data management Basic knowledge of statistical methods and machine learning Strong results driven personality, with a high level of enthusiasm, energy and confidence Excellent analytical, communication, organizational and presentation skills Ability to demonstrate flexibility and integrity: be able and willing to work hands on, independently or with a small team "
